id,days_since_signup,days_since_job_created,days_since_client_created,days_since_invoice_created,days_since_quote_created,country,industry,industry_category,added_user_count,accepted_added_user_count,job_count,client_count,invoice_count,quote_count,call_count,chat_count,demo_count,interaction_count,activity_count,note_count,last_nps_score,last_activity_type,days_since_activity_event,custom_field_count,property_custom_field_count,percent_added_users_accepted,job_count_over_client_count,job_count_over_invoice_count,job_count_over_quote_count,client_count_over_job_count,client_count_over_invoice_count,client_count_over_quote_count,invoice_count_over_job_count,invoice_count_over_client_count,invoice_count_over_quote_count,quote_count_over_job_count,quote_count_over_client_count,quote_count_over_invoice_count,days_since_interaction,approx_days_since_any_user_login,mobile_signup,campaign_group,campaign_string,engagement_score,days_since_basic_task_completed,days_since_payment_recieved,days_since_epayments_used,time_sheet_entries_used,users_logged_in,synced_to_quickbooks,phone_number,cancellation_request,account_value,plan_code,annual_plan,renewed
417,244,170,194,213,,United States,Pressure Washing Service,Cleaning,3,0,18,64,3,0,0,0,0,4,16,0,,52,9,1,0,0.0,0.281,6.0,0.0,3.556,21.333,0.0,0.167,0.047,0.0,0.0,0.0,0.0,28,30,false,Paid Search,campaign(adwords),"",239,,,false,true,false,true,true,39.0,jobber_basic_subscription_39,false,false
418,231,55,139,55,132,United States,Lawn Care & Lawn Maintenance,Green Industry,0,0,4,6,7,10,0,0,0,6,16,0,,52,10,4,3,0.0,0.667,0.571,0.4,1.5,0.857,0.6,1.75,1.167,0.7,2.5,1.667,1.429,128,55,false,Paid Listing,campaign(capterra|capterra_landscape),"",,,,false,true,false,true,false,39.0,jobber_basic_subscription_39,false,false
419,195,139,139,36,145,United States,Lawn Care & Lawn Maintenance,Green Industry,0,0,22,18,50,3,0,0,2,12,22,0,,52,10,5,3,0.0,1.222,0.44,7.333,0.818,0.36,6.0,2.273,2.778,16.667,0.136,0.167,0.06,128,12,false,Unknown,-,"",194,36,,false,true,false,true,false,39.0,jobber_basic_subscription_39,false,true
420,316,41,10,10,28,United States,Pressure Washing Service,Cleaning,0,0,38,178,89,58,3,0,0,12,25,1,,52,10,2,0,0.0,0.213,0.427,0.655,4.684,2.0,3.069,2.342,0.5,1.534,1.526,0.326,0.652,257,0,false,Organic Search,organic(google),"",195,177,,false,true,true,true,false,48.0,jobber_basic_subscription_39,false,false
421,110,65,66,1,,United States,Lawn Care & Lawn Maintenance,Green Industry,0,0,13,3,4,0,1,0,0,7,12,0,,50,27,4,3,0.0,4.333,3.25,0.0,0.231,0.75,0.0,0.308,1.333,0.0,0.0,0.0,0.0,28,1,false,Organic Search,organic(google),"",107,37,,true,true,false,true,false,39.0,jobber_basic_subscription_39,false,true
422,310,21,14,21,14,United States,Pressure Washing Service,Cleaning,4,2,83,608,81,39,3,0,0,13,30,0,,52,11,1,0,50.0,0.137,1.025,2.128,7.325,7.506,15.59,0.976,0.133,2.077,0.47,0.064,0.481,102,1,false,Organic Search,organic(google),"",232,67,,true,false,true,true,false,58.0,jobber_basic_subscription_39,false,true
423,295,295,218,218,295,United States,Painting,Other,1,1,1,7,6,1,2,0,0,6,17,0,10,61,43,10,0,100.0,0.143,0.167,1.0,7.0,1.167,7.0,6.0,0.857,6.0,1.0,0.143,0.167,153,137,false,Unknown,-,"",219,218,,false,true,false,false,false,39.0,jobber_basic_subscription_39,false,false
424,274,97,76,,214,Other,Residential Cleaning,Cleaning,15,2,88,77,0,4,0,0,1,11,27,0,,32,0,10,0,13.333333333333334,1.143,0.0,22.0,0.875,0.0,19.25,0.0,0.0,0.0,0.045,0.052,0.0,29,0,false,Unknown,-,"",187,,,true,true,true,true,true,0.0,jobber_basic_subscription_39,false,false
425,171,,42,42,42,United States,Residential Cleaning,Cleaning,0,0,0,36,72,7,1,0,0,10,18,0,,32,0,0,0,0.0,0.0,0.0,0.0,0.0,0.5,5.143,0.0,2.0,10.286,0.0,0.194,0.097,29,29,false,Intuit,campaign(intuit_appcenter|try_buy),"",42,31,,false,true,true,false,true,0.0,jobber_basic_subscription_39,false,false
426,287,,,,,United States,Other,Other,1,0,0,0,0,0,1,0,0,5,16,0,,61,43,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,182,186,false,Intuit,campaign(intuit_appcenter|try_buy),"",,,,false,false,true,false,false,48.0,jobber_basic_subscription_39,false,false
427,467,377,384,,,Other,Residential Cleaning,Cleaning,1,1,15,19,0,0,3,0,0,15,29,1,,52,11,1,0,100.0,0.789,0.0,0.0,1.267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35,78,false,Direct,direct,"",351,,,true,true,false,true,false,34.0,base_plan_usd,false,false
428,150,87,5,5,,United States,HVAC,Trade,1,0,6,59,55,0,1,0,1,7,13,0,,61,43,0,0,0.0,0.102,0.109,0.0,9.833,1.073,0.0,9.167,0.932,0.0,0.0,0.0,0.0,89,9,true,Unknown,-,"",104,5,,false,false,false,true,false,39.0,jobber_basic_subscription_39,false,true
429,188,45,45,61,,Other,Residential Cleaning,Cleaning,7,1,32,32,1,0,1,0,0,12,20,0,,2,21,1,0,14.285714285714285,1.0,32.0,0.0,1.0,32.0,0.0,0.031,0.031,0.0,0.0,0.0,0.0,21,23,false,Unknown,-,30,,,,false,true,false,false,true,84.0,jobber_basic_subscription_39,false,false
430,287,27,60,27,27,United States,Lawn Care & Lawn Maintenance,Green Industry,0,0,37,43,252,37,1,0,0,6,19,0,,52,12,0,0,0.0,0.86,0.147,1.0,1.162,0.171,1.162,6.811,5.86,6.811,1.0,0.86,0.147,183,27,false,Internal,linked_by(getjobber.com),"",,15,,false,true,true,true,false,48.0,jobber_basic_subscription_39,false,true
36,735,113,13,13,13,Canada,Electrical Contractor,Trade,1,1,5,45,46,60,0,0,0,6,35,1,,52,12,0,0,100.0,0.111,0.109,0.083,9.0,0.978,0.75,9.2,1.022,0.767,12.0,1.333,1.304,84,13,false,Referral,linked_by(lawnsite.com),"",,21,,false,true,false,false,false,38.0,base_plan_usd,false,true
198,221,,0,,,United States,Plumbing,Trade,11,1,0,233,0,0,0,0,0,8,19,0,,52,12,0,0,9.090909090909092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131,3,false,Paid Search,campaign(adwords),"",8,,,false,false,false,true,false,39.0,jobber_basic_subscription_39,false,true
431,73,0,0,0,0,Other,Commercial Cleaning,Cleaning,8,3,47,50,79,13,1,0,0,9,16,0,,2,0,1,0,37.5,0.94,0.595,3.615,1.064,0.633,3.846,1.681,1.58,6.077,0.277,0.26,0.165,0,2,false,Direct,direct,70,57,1,,true,false,false,false,false,44.0,jobber_basic_subscription_39,false,true
432,121,56,57,56,87,United States,Other,Other,4,3,121,330,106,1,1,0,1,10,21,1,,32,0,3,0,75.0,0.367,1.142,121.0,2.727,3.113,330.0,0.876,0.321,106.0,0.008,0.003,0.009,80,24,false,Paid Listing,campaign(capterra|capterra_field_service_management),"",66,56,58,true,true,true,false,true,0.0,jobber_basic_subscription_39,false,false
433,60,47,47,,,Other,Residential Cleaning,Cleaning,1,1,2,3,0,0,2,0,1,15,22,0,,32,0,0,0,100.0,0.667,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,29,false,Paid Search,campaign(adwords),40,,,,false,true,false,true,true,0.0,jobber_basic_subscription_39,false,false
434,62,,62,,,United States,Appliance Repair,Other,0,0,0,1,0,0,0,0,0,4,12,2,,2,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,false,Paid Search,campaign(adwords),20,,,,false,true,true,true,true,48.0,jobber_basic_subscription_39,false,false
435,287,1,9,1,14,Canada,Lawn Care & Lawn Maintenance,Green Industry,12,10,321,311,260,138,1,0,0,8,29,0,4,52,13,23,6,83.33333333333334,1.032,1.235,2.326,0.969,1.196,2.254,0.81,0.836,1.884,0.43,0.444,0.531,185,3,false,Organic Search,organic(google),"",107,1,1,true,false,true,true,false,85.0,jobber_basic_subscription_39,false,true
436,244,69,49,57,69,United States,Residential Cleaning,Cleaning,8,5,57,56,92,51,1,0,0,5,18,0,,31,4,1,0,62.5,1.018,0.62,1.118,0.982,0.609,1.098,1.614,1.643,1.804,0.895,0.911,0.554,132,4,false,Organic Search,organic(google),"",125,50,50,true,false,true,true,true,53.0,jobber_basic_subscription_39,false,false
62,427,4,4,4,4,United States,Construction & Contracting,Trade,9,3,30,195,39,101,6,0,2,17,38,1,3,53,12,0,0,33.33333333333333,0.154,0.769,0.297,6.5,5.0,1.931,1.3,0.2,0.386,3.367,0.518,2.59,191,4,false,Intuit,campaign(intuit_appcenter|try_buy),"",48,48,,false,false,true,false,false,48.0,jobber_basic_subscription_39,false,true
437,73,37,59,,,United States,Window Washing,Cleaning,0,0,106,100,0,0,2,0,0,8,16,0,,2,2,0,0,0.0,1.06,0.0,0.0,0.943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,10,true,Unknown,-,20,,,,false,true,false,true,false,39.0,jobber_basic_subscription_39,false,false
438,928,19,484,298,472,United States,Lawn Care & Lawn Maintenance,Green Industry,5,1,35,13,23,1,11,0,1,16,42,1,,52,14,5,2,20.0,2.692,1.522,35.0,0.371,0.565,13.0,0.657,1.769,23.0,0.029,0.077,0.043,192,3,false,Organic Search,organic(google),"",473,289,484,true,true,false,false,false,34.0,base_plan_usd,false,false
439,73,3,3,,,Other,Carpet Cleaning,Cleaning,2,0,50,33,0,0,0,0,0,8,15,0,,2,2,1,0,0.0,1.515,0.0,0.0,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,5,false,Paid Search,campaign(adwords),20,,,,false,false,false,false,false,39.0,jobber_basic_subscription_39,false,true
440,315,208,42,2,228,United States,Residential Cleaning,Cleaning,3,0,12,37,169,3,0,0,0,4,17,0,,52,15,9,4,0.0,0.324,0.071,4.0,3.083,0.219,12.333,14.083,4.568,56.333,0.25,0.081,0.018,279,3,false,Organic Search,organic(google),"",287,3,,false,false,false,true,false,39.0,jobber_basic_subscription_39,false,true
90,178,2,58,2,,Other,Residential Cleaning,Cleaning,7,2,110,67,135,0,0,0,1,10,20,0,9,52,15,1,0,28.57142857142857,1.642,0.815,0.0,0.609,0.496,0.0,1.227,2.015,0.0,0.0,0.0,0.0,75,2,false,Paid Listing,campaign(capterra|capterra_maid_services),"",97,18,154,false,true,false,false,false,67.0,jobber_basic_subscription_39,false,true
441,226,46,41,143,,United States,Junk Removal,Other,7,2,181,245,16,0,3,0,2,20,30,0,,52,16,0,0,28.57142857142857,0.739,11.313,0.0,1.354,15.313,0.0,0.088,0.065,0.0,0.0,0.0,0.0,135,5,false,Intuit,campaign(intuit_appcenter|try_buy),"",31,150,,false,true,true,false,false,57.0,jobber_basic_subscription_39,false,true
95,148,15,11,12,11,United States,Flooring Service,Other,0,0,37,50,29,54,2,0,0,12,20,0,,61,43,0,0,0.0,0.74,1.276,0.685,1.351,1.724,0.926,0.784,0.58,0.537,1.459,1.08,1.862,95,24,true,Unknown,-,"",68,23,23,true,false,true,true,false,67.0,jobber_basic_subscription_39,false,true
442,66,29,29,,29,United States,Renovations,Other,7,0,40,3486,0,9,4,0,1,11,18,0,,32,0,1,0,0.0,0.011,0.0,4.444,87.15,0.0,387.333,0.0,0.0,0.0,0.225,0.003,0.0,19,25,false,Paid Search,campaign(adwords),40,,,,false,false,true,true,true,0.0,jobber_basic_subscription_39,false,false
443,320,5,5,5,11,United States,Lawn Care & Lawn Maintenance,Green Industry,12,2,443,301,803,117,0,0,0,4,16,0,,52,16,13,12,16.666666666666664,1.472,0.552,3.786,0.679,0.375,2.573,1.813,2.668,6.863,0.264,0.389,0.146,194,6,false,Paid Search,campaign(adwords),"",88,2,,false,false,false,true,false,39.0,jobber_basic_subscription_39,false,true
444,183,19,20,20,20,United States,Lawn Care & Lawn Maintenance,Green Industry,16,5,81,25,8,6,0,0,0,13,26,0,,32,0,8,0,31.25,3.24,10.125,13.5,0.309,3.125,4.167,0.099,0.32,1.333,0.074,0.24,0.75,158,1,false,Organic Search,organic(google),"",17,55,,true,true,true,true,true,0.0,jobber_basic_subscription_39,false,false
