id,days_since_signup,days_since_job_created,days_since_client_created,days_since_invoice_created,days_since_quote_created,country,industry,industry_category,added_user_count,accepted_added_user_count,job_count,client_count,invoice_count,quote_count,call_count,chat_count,demo_count,interaction_count,activity_count,note_count,last_nps_score,last_activity_type,days_since_activity_event,custom_field_count,property_custom_field_count,percent_added_users_accepted,job_count_over_client_count,job_count_over_invoice_count,job_count_over_quote_count,client_count_over_job_count,client_count_over_invoice_count,client_count_over_quote_count,invoice_count_over_job_count,invoice_count_over_client_count,invoice_count_over_quote_count,quote_count_over_job_count,quote_count_over_client_count,quote_count_over_invoice_count,days_since_interaction,approx_days_since_any_user_login,mobile_signup,campaign_group,campaign_string,engagement_score,days_since_basic_task_completed,days_since_payment_recieved,days_since_epayments_used,time_sheet_entries_used,users_logged_in,synced_to_quickbooks,phone_number,cancellation_request,account_value,plan_code,annual_plan,renewed
1,611,81,84,542,,Other,Commercial Cleaning,Cleaning,71,1,84,76,4,0,3,0,0,13,47,1,,31,1,1,0,1.4084507042253522,1.105,21.0,0.0,0.905,19.0,0.0,0.048,0.053,0.0,0.0,0.0,0.0,84,1,false,Organic Search,organic(google),"",,577,,true,true,false,false,true,43.0,base_plan_usd,false,false
2,321,17,17,16,38,United States,HVAC,Trade,3,3,89,352,113,19,2,0,0,8,17,1,,2,38,1,0,100.0,0.253,0.788,4.684,3.955,3.115,18.526,1.27,0.321,5.947,0.213,0.054,0.168,38,8,false,Organic Search,organic(google),"",40,16,,false,true,true,true,false,39.0,jobber_basic_subscription_39,false,true
3,61,21,35,21,39,United States,Other,Other,10,5,15,26,13,3,0,0,1,17,23,0,,50,0,27,1,50.0,0.577,1.154,5.0,1.733,2.0,8.667,0.867,0.5,4.333,0.2,0.115,0.231,25,21,true,Unknown,-,"",,28,,false,false,false,true,true,39.0,jobber_basic_subscription_39,false,false
4,191,51,51,59,75,United States,Lawn Care & Lawn Maintenance,Green Industry,1,1,3,4,1,3,0,0,0,6,13,0,,31,1,3,3,100.0,0.75,3.0,1.0,1.333,4.0,1.333,0.333,0.25,0.333,1.0,0.75,3.0,37,1,false,Paid Search,campaign(adwords),"",51,51,,true,true,true,true,true,53.0,jobber_basic_subscription_39,false,false
5,164,35,35,132,152,United States,Lawn Care & Lawn Maintenance,Green Industry,0,0,371,335,3,9,7,0,1,17,25,0,,31,18,0,0,0.0,1.107,123.667,41.222,0.903,111.667,37.222,0.008,0.009,0.333,0.024,0.027,3.0,33,13,false,Intuit,campaign(intuit_appcenter|try_buy),"",,,,false,true,true,false,true,48.0,jobber_basic_subscription_39,false,false
6,66,45,47,,,Canada,Renovations,Other,18,0,39,3,0,0,1,0,0,10,18,1,,0,2,4,1,0.0,13.0,0.0,0.0,0.077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,34,false,Organic Search,organic(google),"",,,,true,false,true,true,false,0.0,jobber_basic_subscription_39,false,true
7,252,31,31,30,252,United States,HVAC,Trade,2,2,6,1540,8,1,1,0,0,6,10,0,,1,4,0,0,100.0,0.004,0.75,6.0,256.667,192.5,1540.0,1.333,0.005,8.0,0.167,0.001,0.125,4,4,false,Intuit,campaign(intuit_appcenter|try_buy),"",31,,,true,true,true,false,true,57.0,jobber_basic_subscription_39,false,false
8,30,8,13,13,,United States,Pest Control,Other,3,1,50,1148,1,0,0,0,1,11,15,0,,2,0,1,0,33.33333333333333,0.044,50.0,0.0,22.96,1148.0,0.0,0.02,0.001,0.0,0.0,0.0,0.0,0,2,false,Intuit,campaign(intuit_appcenter|try_buy),"",15,,,false,false,true,false,true,66.0,jobber_basic_subscription_39,false,false
9,30,23,25,,,United States,Lawn Care & Lawn Maintenance,Green Industry,0,0,23,15,0,0,0,0,0,6,9,0,,2,3,4,3,0.0,1.533,0.0,0.0,0.652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,14,false,Paid Search,campaign(adwords),"",18,,,false,true,false,true,true,39.0,jobber_basic_subscription_39,false,false
10,333,,291,,,United States,Lawn Care & Lawn Maintenance,Green Industry,7,0,0,126,0,0,3,0,0,13,27,1,,31,29,4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,29,false,Organic Search,organic(google),"",,,,false,true,false,true,true,39.0,jobber_basic_subscription_39,false,false
11,215,116,116,117,154,United States,Electrical Contractor,Trade,10,10,149,3295,57,7,1,0,1,16,30,0,2,2,22,5,0,100.0,0.045,2.614,21.286,22.114,57.807,470.714,0.383,0.017,8.143,0.047,0.002,0.123,22,7,false,Paid Listing,campaign(capterra|capterra_field_service_management),"",114,117,,true,true,true,true,true,39.0,jobber_basic_subscription_39,false,false
12,73,18,18,18,23,United States,HVAC,Trade,3,1,189,186,106,12,0,0,0,2,6,1,,2,0,1,0,33.33333333333333,1.016,1.783,15.75,0.984,1.755,15.5,0.561,0.57,8.833,0.063,0.065,0.113,0,5,false,Organic Search,organic(google),"",27,12,18,false,true,true,false,false,53.0,jobber_basic_subscription_39,false,false
13,92,55,55,54,55,United States,Lawn Care & Lawn Maintenance,Green Industry,82,0,297,1903,239,531,0,0,0,11,17,0,,2,23,0,0,0.0,0.156,1.243,0.559,6.407,7.962,3.584,0.805,0.126,0.45,1.788,0.279,2.222,23,29,false,Unknown,-,"",72,42,42,false,false,false,false,true,44.0,jobber_basic_subscription_39,false,false
14,184,45,56,44,64,United States,Security and Alarm,Hi Tech,2,0,21,21,24,3,0,0,0,7,18,0,,2,28,5,2,0.0,1.0,0.875,7.0,1.0,0.875,7.0,1.143,1.143,8.0,0.143,0.143,0.125,28,31,false,Intuit,campaign(intuit_appcenter|try_buy),"",,37,64,true,false,true,false,true,39.0,jobber_basic_subscription_39,false,false
15,134,15,21,15,21,United States,Pest Control,Other,1,1,8,12,9,5,0,0,0,10,17,0,7,2,41,1,0,100.0,0.667,0.889,1.6,1.5,1.333,2.4,1.125,0.75,1.8,0.625,0.417,0.556,41,16,false,Organic Search,organic(google),"",65,20,,false,true,false,true,false,42.0,jobber_basic_subscription_39,false,true
16,30,,30,,,United States,Plumbing,Trade,0,0,0,428,0,0,0,0,0,3,6,0,,2,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,17,false,Intuit,linked_by(appcenter.intuit.com),"",,,,false,true,false,true,true,48.0,jobber_basic_subscription_39,false,false
17,90,29,29,29,,United States,Pressure Washing Service,Cleaning,3,3,5,5,4,0,0,0,0,29,33,0,,32,0,1,0,100.0,1.0,1.25,0.0,1.0,1.25,0.0,0.8,0.8,0.0,0.0,0.0,0.0,2,25,false,Paid Listing,campaign(capterra|capterra_service_dispatch),"",29,65,,true,true,true,false,true,0.0,jobber_basic_subscription_39,false,false
18,540,3,66,3,11,United States,Lawn Care & Lawn Maintenance,Green Industry,2,2,999,394,859,41,4,0,0,10,35,4,,61,43,5,4,100.0,2.536,1.163,24.366,0.394,0.459,9.61,0.86,2.18,20.951,0.041,0.104,0.048,101,4,false,Internal,linked_by(octopusapp.com),"",337,11,,true,true,true,true,false,29.0,base_plan_usd,false,true
19,164,2,8,2,3,United States,Lawn Care & Lawn Maintenance,Green Industry,3,2,115,149,262,43,6,0,0,14,22,0,,1,21,4,3,66.66666666666666,0.772,0.439,2.674,1.296,0.569,3.465,2.278,1.758,6.093,0.374,0.289,0.164,21,3,false,Direct,direct,"",70,0,0,true,true,true,true,false,58.0,jobber_basic_subscription_39,false,true
20,562,2,7,2,7,United States,Arborist / Tree Care,Green Industry,0,0,29,72,64,50,1,0,0,4,25,1,,61,43,3,2,0.0,0.403,0.453,0.58,2.483,1.125,1.44,2.207,0.889,1.28,1.724,0.694,0.781,102,3,false,Direct,direct,"",,318,,false,true,false,true,false,29.0,base_plan_usd,false,true
21,87,18,26,,,United States,Lawn Care & Lawn Maintenance,Green Industry,1,0,90,941,0,0,4,0,2,12,17,0,,2,3,0,0,0.0,0.096,0.0,0.0,10.456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,12,false,Paid Search,campaign(adwords),"",,,,false,true,true,true,true,48.0,jobber_basic_subscription_39,false,false
22,267,25,25,25,,United States,Commercial Cleaning,Cleaning,1,0,11,15,1,0,3,0,0,8,15,0,,1,26,0,0,0.0,0.733,11.0,0.0,1.364,15.0,0.0,0.091,0.067,0.0,0.0,0.0,0.0,26,12,false,Paid Search,campaign(adwords),"",,25,,false,false,false,true,true,44.0,jobber_basic_subscription_39,false,false
23,209,166,127,104,203,Other,Construction & Contracting,Trade,22,7,32,50,15,26,0,0,0,2,11,0,,61,43,0,0,31.818181818181817,0.64,2.133,1.231,1.563,3.333,1.923,0.469,0.3,0.577,0.813,0.52,1.733,96,13,false,Paid Listing,campaign(getapp|get_app|getapp),"",,41,,true,false,true,true,false,93.0,jobber_basic_subscription_39,false,false
24,61,13,11,,,United States,Construction & Contracting,Trade,7,1,69,42,0,0,2,0,0,12,16,0,,2,3,3,0,14.285714285714285,1.643,0.0,0.0,0.609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,6,false,Paid Listing,campaign(capterra|capterra_field_service_management),"",,,,true,false,true,true,true,71.0,jobber_basic_subscription_39,false,false
25,42,37,37,,,Other,Mechanical Service,Trade,0,0,1,3,0,0,0,0,0,3,6,0,,2,13,0,0,0.0,0.333,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,12,false,Unknown,-,"",37,,,false,true,false,true,false,39.0,jobber_basic_subscription_39,false,false
26,222,219,0,0,87,United States,Plumbing,Trade,6,1,4,45,25,2,1,0,1,9,18,0,,61,43,0,0,16.666666666666664,0.089,0.16,2.0,11.25,1.8,22.5,6.25,0.556,12.5,0.5,0.044,0.08,62,0,false,Organic Search,organic(google),"",,0,,false,true,false,true,false,44.0,jobber_basic_subscription_39,false,true
27,125,73,61,61,83,United States,Lawn Care & Lawn Maintenance,Green Industry,1,1,21,35,12,2,0,0,0,7,15,0,,2,18,7,3,100.0,0.6,1.75,10.5,1.667,2.917,17.5,0.571,0.343,6.0,0.095,0.057,0.167,18,19,false,Organic Search,organic(google),"",90,68,,false,true,false,true,true,39.0,jobber_basic_subscription_39,false,false
28,157,48,48,,,United States,Commercial Cleaning,Cleaning,8,3,19,19,0,0,0,0,0,4,11,0,,2,14,1,0,37.5,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,19,false,Paid Listing,campaign(getapp|get_app),"",25,,,false,false,false,true,true,48.0,jobber_basic_subscription_39,false,false
