id,days_since_signup,days_since_job_created,days_since_client_created,days_since_invoice_created,days_since_quote_created,country,industry,industry_category,added_user_count,accepted_added_user_count,job_count,client_count,invoice_count,quote_count,call_count,chat_count,demo_count,interaction_count,activity_count,note_count,last_nps_score,last_activity_type,days_since_activity_event,custom_field_count,property_custom_field_count,percent_added_users_accepted,job_count_over_client_count,job_count_over_invoice_count,job_count_over_quote_count,client_count_over_job_count,client_count_over_invoice_count,client_count_over_quote_count,invoice_count_over_job_count,invoice_count_over_client_count,invoice_count_over_quote_count,quote_count_over_job_count,quote_count_over_client_count,quote_count_over_invoice_count,days_since_interaction,approx_days_since_any_user_login,mobile_signup,campaign_group,campaign_string,engagement_score,days_since_basic_task_completed,days_since_payment_recieved,days_since_epayments_used,time_sheet_entries_used,users_logged_in,synced_to_quickbooks,phone_number,cancellation_request,account_value,plan_code,annual_plan,renewed
532,190,17,17,15,17,Other,Other,Other,1,0,14,17,11,11,0,0,0,4,11,0,,61,35,0,0,0.0,0.824,1.273,1.273,1.214,1.545,1.545,0.786,0.647,1.0,0.786,0.647,1.0,118,17,false,Paid Listing,campaign(getapp|get_app),"",134,22,,false,false,false,false,false,39.0,jobber_basic_subscription_39,false,true
194,419,27,27,27,69,United States,Lawn Care & Lawn Maintenance,Green Industry,1,1,127,41,77,22,0,0,0,5,24,1,,52,40,0,0,100.0,3.098,1.649,5.773,0.323,0.532,1.864,0.606,1.878,3.5,0.173,0.537,0.286,364,9,false,Organic Search,organic(google),"",17,9,19,true,false,true,true,false,49.0,jobber_basic_subscription_39,false,true
533,44,27,35,27,35,Canada,Marine Service,Bad Fit,2,1,16,880,4,1,4,0,1,14,20,1,,2,21,13,0,50.0,0.018,4.0,16.0,55.0,220.0,880.0,0.25,0.005,4.0,0.063,0.001,0.25,21,2,false,Paid Listing,campaign(capterra|capterra_field_service_management),60,35,31,,true,false,false,true,false,39.0,jobber_basic_subscription_39,false,true
534,442,,60,63,192,United States,Lawn Care & Lawn Maintenance,Green Industry,1,1,0,56,169,3,1,0,0,4,19,1,,61,38,0,0,100.0,0.0,0.0,0.0,0.0,0.331,18.667,0.0,3.018,56.333,0.0,0.054,0.018,185,38,false,Paid Search,campaign(adwords),"",205,58,118,true,true,false,true,false,49.0,jobber_basic_subscription_39,false,false
469,368,79,95,79,79,United States,Renovations,Other,0,0,11,35,14,45,0,0,0,5,20,0,,2,19,1,0,0.0,0.314,0.786,0.244,3.182,2.5,0.778,1.273,0.4,0.311,4.091,1.286,3.214,19,58,false,Paid Search,campaign(adwords),"",343,101,,false,true,false,true,false,39.0,jobber_basic_subscription_39,false,true
535,93,40,64,59,,United States,Residential Cleaning,Cleaning,2,2,24,26,25,0,5,0,0,15,24,1,,2,16,1,0,100.0,0.923,0.96,0.0,1.083,1.04,0.0,1.042,0.962,0.0,0.0,0.0,0.0,16,2,false,Paid Search,campaign(bingads|Commercial Cleaning),120,87,66,,true,true,true,true,true,62.0,jobber_basic_subscription_39,false,true
536,555,3,30,12,,Canada,Residential Cleaning,Cleaning,11,8,413,106,219,0,4,0,0,11,43,4,10,2,33,2,0,72.72727272727273,3.896,1.886,0.0,0.257,0.484,0.0,0.53,2.066,0.0,0.0,0.0,0.0,33,1,false,Organic Search,organic(bing),"",43,47,,false,true,true,true,false,47.0,base_plan_usd,false,true
537,275,236,236,234,239,United States,Arborist / Tree Care,Green Industry,5,1,266,258,212,1,2,0,0,9,22,0,,31,12,1,0,20.0,1.031,1.255,266.0,0.97,1.217,258.0,0.797,0.822,212.0,0.004,0.004,0.005,186,12,false,Organic Search,organic(google),"",239,214,,false,true,false,true,true,39.0,jobber_basic_subscription_39,false,false
342,90,,,,,United States,Snow Removal,Other,1,1,0,0,0,0,0,0,0,7,14,0,,50,21,2,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43,4,false,Organic Search,organic(google),60,71,,,false,false,false,false,false,39.0,jobber_basic_subscription_39,false,true
538,61,26,29,26,32,United States,Computers & IT,Hi Tech,1,1,36,260,25,2,1,0,0,4,10,0,,31,24,1,0,100.0,0.138,1.44,18.0,7.222,10.4,130.0,0.694,0.096,12.5,0.056,0.008,0.08,40,26,false,Organic Search,organic(google),20,30,29,,true,true,false,true,true,44.0,jobber_basic_subscription_39,false,true
