id,days_since_signup,days_since_job_created,days_since_client_created,days_since_invoice_created,days_since_quote_created,country,industry,industry_category,added_user_count,accepted_added_user_count,job_count,client_count,invoice_count,quote_count,call_count,chat_count,demo_count,interaction_count,activity_count,note_count,last_nps_score,last_activity_type,days_since_activity_event,custom_field_count,property_custom_field_count,percent_added_users_accepted,job_count_over_client_count,job_count_over_invoice_count,job_count_over_quote_count,client_count_over_job_count,client_count_over_invoice_count,client_count_over_quote_count,invoice_count_over_job_count,invoice_count_over_client_count,invoice_count_over_quote_count,quote_count_over_job_count,quote_count_over_client_count,quote_count_over_invoice_count,days_since_interaction,approx_days_since_any_user_login,mobile_signup,campaign_group,campaign_string,engagement_score,days_since_basic_task_completed,days_since_payment_recieved,days_since_epayments_used,time_sheet_entries_used,users_logged_in,synced_to_quickbooks,phone_number,cancellation_request,account_value,plan_code,annual_plan,renewed
963,549,54,100,158,100,Other,Lawn Care & Lawn Maintenance,Green Industry,5,2,236,319,204,26,3,0,0,15,44,2,7,2,20,8,3,40.0,0.74,1.157,9.077,1.352,1.564,12.269,0.864,0.639,7.846,0.11,0.082,0.127,20,23,false,Paid Search,campaign(adwords),"",231,158,,true,false,false,false,true,39.0,jobber_basic_subscription_39,false,false
964,821,464,171,763,171,United States,Residential Cleaning,Cleaning,13,1,383,500,4,17,6,0,0,10,43,1,,31,3,0,0,7.6923076923076925,0.766,95.75,22.529,1.305,125.0,29.412,0.01,0.008,0.235,0.044,0.034,4.25,20,3,false,Paid Listing,campaign(capterra|capterra_maid_services),"",533,749,,false,false,false,true,true,47.0,base_plan_usd,false,false
965,497,112,84,347,84,United States,Lawn Care & Lawn Maintenance,Green Industry,14,13,230,393,22,487,0,0,0,11,39,1,,54,37,0,0,92.85714285714286,0.585,10.455,0.472,1.709,17.864,0.807,0.096,0.056,0.045,2.117,1.239,22.136,339,21,false,Internal,linked_by(octopusapp.com),"",190,351,,true,true,true,true,false,39.0,jobber_basic_subscription_39,false,false
966,410,190,211,190,192,United States,Roofing Service,Other,6,4,23,64,30,5,1,0,1,22,42,0,,31,28,1,0,66.66666666666666,0.359,0.767,4.6,2.783,2.133,12.8,1.304,0.469,6.0,0.217,0.078,0.167,226,28,false,Paid Listing,campaign(capterra|capterra_billing_and_invoicing),"",326,186,,true,true,true,true,true,53.0,jobber_basic_subscription_39,false,false
967,60,17,17,,17,United States,Residential Cleaning,Cleaning,9,3,108,91,0,1,1,0,1,7,19,0,,2,4,3,1,33.33333333333333,1.187,0.0,108.0,0.843,0.0,91.0,0.0,0.0,0.0,0.009,0.011,0.0,4,18,false,Direct,direct,50,17,,,true,true,true,true,true,53.0,jobber_basic_subscription_39,false,false
968,185,105,105,,,United States,Other,Other,1,1,152,57,0,0,1,0,0,10,24,0,,31,30,0,0,100.0,2.667,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99,30,false,Direct,direct,20,,,,false,true,false,true,true,39.0,jobber_basic_subscription_39,false,false
969,87,6,0,4,2,United States,Window Washing,Cleaning,1,0,4,55,18,23,6,0,0,12,19,0,,2,4,4,3,0.0,0.073,0.222,0.174,13.75,3.056,2.391,4.5,0.327,0.783,5.75,0.418,1.278,4,4,false,Organic Search,organic(bing),40,,3,,false,false,false,true,false,39.0,jobber_basic_subscription_39,false,true
970,119,112,63,63,,United States,Other,Other,2,2,1,14,13,0,4,0,1,36,47,0,,2,4,37,0,100.0,0.071,0.077,0.0,14.0,1.077,0.0,13.0,0.929,0.0,0.0,0.0,0.0,4,4,false,Intuit,campaign(intuit_appcenter|try_buy),80,112,63,,false,true,true,false,true,66.0,jobber_basic_subscription_39,false,false
265,771,30,25,,30,United States,Lawn Care & Lawn Maintenance,Green Industry,6,1,1,502,0,1,6,0,0,14,42,2,,2,5,5,4,16.666666666666664,0.002,0.0,1.0,502.0,0.0,502.0,0.0,0.0,0.0,1.0,0.002,0.0,5,25,false,Direct,direct,30,712,,,true,false,false,true,true,85.0,jobber_basic_subscription_39,false,false
971,119,94,91,79,99,United States,Pest Control,Other,0,0,9,7,8,1,1,0,0,5,14,0,1,31,8,4,0,0.0,1.286,1.125,9.0,0.778,0.875,7.0,0.889,1.143,8.0,0.111,0.143,0.125,81,8,true,Paid Search,campaign(adwords),80,94,100,,false,true,true,true,true,39.0,jobber_basic_subscription_39,false,false
