id,days_since_signup,days_since_job_created,days_since_client_created,days_since_invoice_created,days_since_quote_created,country,industry,industry_category,added_user_count,accepted_added_user_count,job_count,client_count,invoice_count,quote_count,call_count,chat_count,demo_count,interaction_count,activity_count,note_count,last_nps_score,last_activity_type,days_since_activity_event,custom_field_count,property_custom_field_count,percent_added_users_accepted,job_count_over_client_count,job_count_over_invoice_count,job_count_over_quote_count,client_count_over_job_count,client_count_over_invoice_count,client_count_over_quote_count,invoice_count_over_job_count,invoice_count_over_client_count,invoice_count_over_quote_count,quote_count_over_job_count,quote_count_over_client_count,quote_count_over_invoice_count,days_since_interaction,approx_days_since_any_user_login,mobile_signup,campaign_group,campaign_string,engagement_score,days_since_basic_task_completed,days_since_payment_recieved,days_since_epayments_used,time_sheet_entries_used,users_logged_in,synced_to_quickbooks,phone_number,cancellation_request,account_value,plan_code,annual_plan,renewed
1761,61,38,38,38,61,United States,Arborist / Tree Care,Green Industry,1,0,59,69,59,1,2,3,0,7,12,0,,31,31,1,0,0.0,0.855,1.0,59.0,1.169,1.169,69.0,1.0,0.855,59.0,0.017,0.014,0.017,34,34,false,Direct,direct,70,60,38,,false,true,false,true,true,59.0,monthly_59_basicpro,false,false
1762,291,2,2,2,13,United States,Carpet Cleaning,Cleaning,1,1,55,60,54,3,9,6,0,25,41,0,,31,2,12,2,100.0,0.917,1.019,18.333,1.091,1.111,20.0,0.982,0.9,18.0,0.055,0.05,0.056,6,6,false,Organic Search,organic(google),70,173,2,,false,true,false,false,true,59.0,monthly_59,false,false
1763,389,156,149,149,156,Other,Plumbing,Trade,9,4,438,673,429,510,2,0,1,20,46,2,,61,42,10,0,44.44444444444444,0.651,1.021,0.859,1.537,1.569,1.32,0.979,0.637,0.841,1.164,0.758,1.189,333,66,false,Paid Listing,campaign(getapp|get_app),10,143,97,,false,true,false,true,false,39.0,jobber_basic_subscription_39,false,false
1764,184,83,3,3,104,United States,Arborist / Tree Care,Green Industry,1,1,17,25,17,17,6,0,0,12,27,0,,31,3,1,0,100.0,0.68,1.0,1.0,1.471,1.471,1.471,1.0,0.68,1.0,1.0,0.68,1.0,97,6,false,Organic Search,organic(google),60,,3,,false,true,false,true,true,39.0,jobber_basic_subscription_39,false,false
1765,347,27,27,75,152,United States,Lawn Care & Lawn Maintenance,Green Industry,7,0,99,165,126,14,4,0,1,19,40,0,5,31,2,1,0,0.0,0.6,0.786,7.071,1.667,1.31,11.786,1.273,0.764,9.0,0.141,0.085,0.111,125,6,false,Paid Listing,campaign(capterra|capterra_landscape),70,16,79,,true,false,true,false,true,53.0,jobber_basic_subscription_39,false,false
1766,668,300,340,654,,United States,Pest Control,Other,3,0,1147,1301,35,0,0,0,0,8,35,0,,2,9,1,0,0.0,0.882,32.771,0.0,1.134,37.171,0.0,0.031,0.027,0.0,0.0,0.0,0.0,9,2,false,Intuit,campaign(intuit_appcenter|try_buy),"",391,654,,false,true,true,false,true,48.0,jobber_basic_subscription_39,false,false
1767,121,90,90,89,96,Other,Pest Control,Other,12,1,69,91,1,1,1,0,2,10,20,0,,31,0,5,2,8.333333333333332,0.758,69.0,69.0,1.319,91.0,91.0,0.014,0.011,1.0,0.014,0.011,1.0,69,0,false,Organic Search,organic(google),30,97,89,,false,false,false,false,true,59.0,monthly_59,false,false
1296,578,90,98,95,202,United States,Flooring Service,Other,6,4,138,142,102,36,2,0,0,11,36,0,,61,42,3,0,66.66666666666666,0.972,1.353,3.833,1.029,1.392,3.944,0.739,0.718,2.833,0.261,0.254,0.353,110,46,false,Organic Search,organic(google),"",409,95,,true,true,false,true,false,44.0,jobber_basic_subscription_39,false,true
1768,560,3,24,,,United States,Pool and Spa Service,Other,9,7,1805,290,0,0,0,0,0,7,35,1,,61,42,4,2,77.77777777777779,6.224,0.0,0.0,0.161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,411,7,false,Organic Search,organic(bing),"",46,,,true,true,true,true,false,57.0,jobber_basic_subscription_39,false,false
301,783,4,32,3,11,Canada,Residential Cleaning,Cleaning,13,3,214,78,368,22,5,0,1,34,65,1,,11,33,4,0,23.076923076923077,2.744,0.582,9.727,0.364,0.212,3.545,1.72,4.718,16.727,0.103,0.282,0.06,89,7,false,Unknown,-,"",774,4,239,false,false,false,false,false,29.0,base_plan_usd,false,true
