id,days_since_signup,days_since_job_created,days_since_client_created,days_since_invoice_created,days_since_quote_created,country,industry,industry_category,added_user_count,accepted_added_user_count,job_count,client_count,invoice_count,quote_count,call_count,chat_count,demo_count,interaction_count,activity_count,note_count,last_nps_score,last_activity_type,days_since_activity_event,custom_field_count,property_custom_field_count,percent_added_users_accepted,job_count_over_client_count,job_count_over_invoice_count,job_count_over_quote_count,client_count_over_job_count,client_count_over_invoice_count,client_count_over_quote_count,invoice_count_over_job_count,invoice_count_over_client_count,invoice_count_over_quote_count,quote_count_over_job_count,quote_count_over_client_count,quote_count_over_invoice_count,days_since_interaction,approx_days_since_any_user_login,mobile_signup,campaign_group,campaign_string,engagement_score,days_since_basic_task_completed,days_since_payment_recieved,days_since_epayments_used,time_sheet_entries_used,users_logged_in,synced_to_quickbooks,phone_number,cancellation_request,account_value,plan_code,annual_plan,renewed
3187,152,41,41,80,,United States,Window Washing,Cleaning,2,0,62,58,63,0,1,10,0,16,30,2,,2,16,0,0,0.0,1.069,0.984,0.0,0.935,0.921,0.0,1.016,1.086,0.0,0.0,0.0,0.0,16,24,true,Organic Search,organic(google),50,,80,,false,true,false,true,true,0.0,monthly_59_basicpro,false,false
3188,866,257,448,251,354,Canada,Computers & IT,Hi Tech,3,3,907,36,125,18,0,2,0,13,51,2,,7,3,1,0,100.0,25.194,7.256,50.389,0.04,0.288,2.0,0.138,3.472,6.944,0.02,0.5,0.144,3,4,false,Paid Listing,campaign(capterra|capterra_security_system_installer|security system intaller),"",441,226,,false,true,true,true,true,0.0,jobber_basic_subscription_39,false,false
3189,321,,,,,United States,Pressure Washing Service,Cleaning,1,0,0,0,0,0,1,12,0,16,42,2,,31,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49,4,true,Unknown,-,70,,,,false,true,false,true,true,0.0,monthly_59_basicpro,false,false
3190,461,241,62,,,Canada,Electrical Contractor,Trade,5,2,2,5,0,0,1,2,0,6,21,5,,31,21,1,0,40.0,0.4,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62,21,false,Organic Search,organic(google),60,241,,,true,true,true,false,true,0.0,monthly_59_basicpro,false,false
2788,104,8,6,12,6,Canada,Other,Other,2,2,615,717,182,128,3,2,0,6,20,0,,1,5,0,0,100.0,0.858,3.379,4.805,1.166,3.94,5.602,0.296,0.254,1.422,0.208,0.179,0.703,5,8,false,Direct,direct,80,104,12,,false,true,false,false,false,68.0,monthly_59_basicpro,false,true
1290,883,0,3,2,3,United States,Plumbing,Trade,14,10,2952,3879,2980,219,4,31,0,40,107,1,,56,7,10,0,71.42857142857143,0.761,0.991,13.479,1.314,1.302,17.712,1.009,0.768,13.607,0.074,0.056,0.073,17,0,false,Intuit,campaign(intuit_appcenter|try_buy),"",2,1,4,true,false,true,false,false,85.0,jobber_basic_subscription_39,false,true
3191,507,272,340,272,285,United States,Window Washing,Cleaning,27,1,154,3130,6,5,4,10,1,30,61,1,,2,14,2,0,3.7037037037037033,0.049,25.667,30.8,20.325,521.667,626.0,0.039,0.002,1.2,0.032,0.002,0.833,14,17,false,Paid Search,campaign(adwords),70,286,,,true,false,true,true,true,0.0,jobber_basic_subscription_39,false,false
1906,468,459,0,421,411,United States,HVAC,Trade,10,6,1,1625,4,2,4,0,1,15,53,6,,61,42,34,0,60.0,0.001,0.25,0.5,1625.0,406.25,812.5,4.0,0.002,2.0,2.0,0.001,0.5,146,0,false,Paid Search,campaign(adwords),60,14,396,,false,true,false,true,false,48.0,jobber_basic_subscription_39,false,true
1905,385,0,11,97,180,United States,Other - Bad Fit,Bad Fit,17,10,592,201,162,3,8,6,0,25,46,0,,24,42,0,0,58.82352941176471,2.945,3.654,197.333,0.34,1.241,67.0,0.274,0.806,54.0,0.005,0.015,0.019,276,0,false,Intuit,campaign(intuit_appcenter|try_buy),110,252,87,,true,true,true,true,false,77.0,monthly_59,false,true
3192,103,31,33,31,34,United States,Construction & Contracting,Trade,6,4,4,8,6,7,1,0,0,1,11,0,,61,42,1,0,66.66666666666666,0.5,0.667,0.571,2.0,1.333,1.143,1.5,0.75,0.857,1.75,0.875,1.167,94,25,false,Organic Search,organic(google),10,97,25,,false,false,false,true,false,77.0,monthly_59_basicpro,false,false
3193,518,53,53,91,139,United States,Lawn Care & Lawn Maintenance,Green Industry,3,0,430,230,568,72,3,2,0,12,39,1,,2,6,4,3,0.0,1.87,0.757,5.972,0.535,0.405,3.194,1.321,2.47,7.889,0.167,0.313,0.127,6,7,false,Direct,direct,60,,98,,false,false,false,true,true,0.0,jobber_basic_subscription_39,false,false
3194,578,54,202,54,,United States,Residential Cleaning,Cleaning,2,0,58,76,5,0,0,1,0,10,24,1,,2,4,3,0,0.0,0.763,11.6,0.0,1.31,15.2,0.0,0.086,0.066,0.0,0.0,0.0,0.0,4,6,false,Direct,direct,80,64,56,56,false,false,true,false,true,0.0,monthly_59_basicpro,false,false
3195,427,162,158,158,152,Other,Plumbing,Trade,5,4,537,604,571,288,2,16,0,22,55,4,,2,26,18,2,80.0,0.889,0.94,1.865,1.125,1.058,2.097,1.063,0.945,1.983,0.536,0.477,0.504,26,28,false,Paid Listing,campaign(GetApp|HVACPlumbingElectrical),10,155,155,161,true,false,true,true,true,0.0,monthly_59,false,false
3196,122,90,76,71,,United States,Residential Cleaning,Cleaning,2,2,65,160,55,0,0,8,0,9,25,3,0,7,31,1,0,100.0,0.406,1.182,0.0,2.462,2.909,0.0,0.846,0.344,0.0,0.0,0.0,0.0,31,32,false,Paid Search,campaign(adwords),130,120,43,95,true,false,true,true,true,0.0,monthly_59_basicpro,false,false
3197,608,159,224,159,237,United States,Window Washing,Cleaning,11,11,2867,7275,2826,8,1,0,1,3,51,2,10,31,27,5,0,100.0,0.394,1.015,358.375,2.537,2.574,909.375,0.986,0.388,353.25,0.003,0.001,0.003,90,8,false,Unknown,-,0,210,141,,true,true,true,true,true,0.0,jobber_basic_subscription_39,false,false
3198,608,274,260,277,278,United States,Window Washing,Cleaning,9,8,1450,4195,1378,2,1,0,0,2,41,2,,31,27,4,0,88.88888888888889,0.346,1.052,725.0,2.893,3.044,2097.5,0.95,0.328,689.0,0.001,0.0,0.001,544,8,false,Unknown,-,0,271,237,,true,false,true,true,true,0.0,jobber_basic_subscription_39,false,false
3199,608,273,258,291,327,United States,Window Washing,Cleaning,5,5,441,2881,352,7,0,0,0,2,38,1,,31,27,8,0,100.0,0.153,1.253,63.0,6.533,8.185,411.571,0.798,0.122,50.286,0.016,0.002,0.02,568,15,false,Unknown,-,0,313,266,,true,true,true,true,true,0.0,jobber_basic_subscription_39,false,false
