id,days_since_signup,days_since_job_created,days_since_client_created,days_since_invoice_created,days_since_quote_created,country,industry,industry_category,added_user_count,accepted_added_user_count,job_count,client_count,invoice_count,quote_count,call_count,chat_count,demo_count,interaction_count,activity_count,note_count,last_nps_score,last_activity_type,days_since_activity_event,custom_field_count,property_custom_field_count,percent_added_users_accepted,job_count_over_client_count,job_count_over_invoice_count,job_count_over_quote_count,client_count_over_job_count,client_count_over_invoice_count,client_count_over_quote_count,invoice_count_over_job_count,invoice_count_over_client_count,invoice_count_over_quote_count,quote_count_over_job_count,quote_count_over_client_count,quote_count_over_invoice_count,days_since_interaction,approx_days_since_any_user_login,mobile_signup,campaign_group,campaign_string,engagement_score,days_since_basic_task_completed,days_since_payment_recieved,days_since_epayments_used,time_sheet_entries_used,users_logged_in,synced_to_quickbooks,phone_number,cancellation_request,account_value,plan_code,annual_plan,renewed
2169,518,204,199,200,201,United States,Construction & Contracting,Trade,23,7,202,1010,196,602,2,5,0,14,46,2,,61,42,12,0,30.434782608695656,0.2,1.031,0.336,5.0,5.153,1.678,0.97,0.194,0.326,2.98,0.596,3.071,152,42,false,Intuit,campaign(intuit_appcenter|try_buy),110,196,203,257,true,false,false,false,false,59.0,monthly_59_basicpro,false,false
2790,61,15,15,,15,United States,Residential Cleaning,Cleaning,6,0,2,5,0,4,1,0,0,2,8,0,,31,37,32,0,0.0,0.4,0.0,0.5,2.5,0.0,1.25,0.0,0.0,0.0,2.0,0.8,0.0,37,9,false,Unknown,-,0,,,,false,false,false,true,false,0.0,monthly_59_basicpro,false,false
2791,78,47,47,,,United States,Other,Other,3,0,1,1,0,0,1,10,0,14,25,2,,2,29,1,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,30,false,Direct,direct,10,61,,,false,false,false,true,true,0.0,monthly_59_basicpro,false,false
241,919,1,13,1,1,United States,HVAC,Trade,13,3,1443,890,1129,187,2,2,0,10,51,0,10,61,36,5,1,23.076923076923077,1.621,1.278,7.717,0.617,0.788,4.759,0.782,1.269,6.037,0.13,0.21,0.166,40,2,false,Intuit,campaign(intuit_appcenter|try_buy),"",1,1,,true,false,true,false,false,48.0,jobber_basic_subscription_39,false,true
2792,491,,491,,,United States,Plumbing,Trade,82,8,0,1,0,0,2,0,0,3,40,3,10,31,29,3,0,9.75609756097561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,476,7,false,Direct,direct,30,,,,true,false,false,true,true,0.0,jobber_basic_subscription_39,false,false
2793,30,30,30,,,Other,Home Theater,Hi Tech,4,2,1,1,0,0,0,2,0,3,14,1,,2,10,1,0,50.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,14,false,Organic Search,organic(google),10,,,,false,false,false,true,true,0.0,monthly_59_basicpro,false,false
2794,30,19,28,,,United States,Residential Cleaning,Cleaning,13,13,42,6,0,0,1,6,0,8,20,3,,31,0,1,0,100.0,7.0,0.0,0.0,0.143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,false,Organic Search,organic(google),0,,,,true,true,true,true,true,0.0,monthly_59_basicpro,false,false
2795,516,93,112,93,,United States,Residential Cleaning,Cleaning,11,1,435,115,416,0,3,0,1,10,39,3,,31,21,2,0,9.090909090909092,3.783,1.046,0.0,0.264,0.276,0.0,0.956,3.617,0.0,0.0,0.0,0.0,483,21,true,Unknown,-,50,,78,86,false,false,true,true,true,0.0,jobber_basic_subscription_39,false,false
2591,599,6,8,6,8,United States,Residential Cleaning,Cleaning,12,10,693,248,374,65,0,4,2,17,52,0,6,7,8,4,0,83.33333333333334,2.794,1.853,10.662,0.358,0.663,3.815,0.54,1.508,5.754,0.094,0.262,0.174,8,2,false,Organic Search,organic(google),110,166,5,5,true,true,true,true,false,103.0,annual_39,true,true
1627,339,1,0,0,0,Canada,Window Washing,Cleaning,9,8,38,160,28,128,5,1,1,11,32,1,8,7,16,1,0,88.88888888888889,0.238,1.357,0.297,4.211,5.714,1.25,0.737,0.175,0.219,3.368,0.8,4.571,16,1,true,Paid Search,campaign(adwords),110,9,1,310,true,false,true,true,false,122.0,monthly_59_basicpro,false,true
