id,days_since_signup,days_since_job_created,days_since_client_created,days_since_invoice_created,days_since_quote_created,country,industry,industry_category,added_user_count,accepted_added_user_count,job_count,client_count,invoice_count,quote_count,call_count,chat_count,demo_count,interaction_count,activity_count,note_count,last_nps_score,last_activity_type,days_since_activity_event,custom_field_count,property_custom_field_count,percent_added_users_accepted,job_count_over_client_count,job_count_over_invoice_count,job_count_over_quote_count,client_count_over_job_count,client_count_over_invoice_count,client_count_over_quote_count,invoice_count_over_job_count,invoice_count_over_client_count,invoice_count_over_quote_count,quote_count_over_job_count,quote_count_over_client_count,quote_count_over_invoice_count,days_since_interaction,approx_days_since_any_user_login,mobile_signup,campaign_group,campaign_string,engagement_score,days_since_basic_task_completed,days_since_payment_recieved,days_since_epayments_used,time_sheet_entries_used,users_logged_in,synced_to_quickbooks,phone_number,cancellation_request,account_value,plan_code,annual_plan,year,month,renewed
1025,153,62,62,62,125,United States,Other,Other,25,4,21,16,6,1,3,0,0,7,17,0,nan,61,42,7,1,16.0,1.313,3.5,21.0,0.762,2.667,16.0,0.286,0.375,6.0,0.048,0.063,0.167,92,29,false,Direct,direct,20,nan,nan,nan,true,true,true,false,false,80.0,jobber_basic_subscription_39,false,2015,5,false
1237,254,6,0,3,0,United States,Construction & Contracting,Trade,43,3,78,1754,58,647,4,0,4,54,71,1,nan,54,0,15,0,6.976744186046512,0.044,1.345,0.121,22.487,30.241,2.711,0.744,0.033,0.09,8.295,0.369,11.155,69,3,false,Paid Listing,campaign(capterra|capterra_field_service_management),90,0,43,nan,false,false,true,false,false,93.0,jobber_basic_subscription_39,false,2015,7,true
1172,775,179,251,179,130,Canada,Lawn Care & Lawn Maintenance,Green Industry,0,0,19,24,23,34,3,0,0,12,43,1,nan,31,19,4,3,0.0,0.792,0.826,0.559,1.263,1.043,0.706,1.211,0.958,0.676,1.789,1.417,1.478,65,19,false,Direct,direct,"",726,249,nan,false,true,false,true,true,29.0,base_plan_usd,false,2015,6,false
312,67,nan,nan,nan,nan,United States,Plumbing,Trade,5,1,0,0,0,0,6,0,0,12,16,0,nan,2,23,0,0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,18,false,Direct,direct,"",nan,nan,nan,false,false,true,true,true,48.0,jobber_basic_subscription_39,false,2014,11,false
1499,426,108,99,107,105,United States,Renovations,Other,2,2,61,223,74,104,4,0,2,16,36,0,nan,2,28,8,0,100.0,0.274,0.824,0.587,3.656,3.014,2.144,1.213,0.332,0.712,1.705,0.466,1.405,28,28,false,Paid Search,campaign(adwords),"",111,107,143,false,true,false,false,true,39.0,jobber_basic_subscription_39,false,2015,9,false
487,224,147,64,nan,nan,United States,Arborist / Tree Care,Green Industry,0,0,3,15,0,0,3,0,0,13,24,0,nan,31,15,1,0,0.0,0.2,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,5,false,Paid Listing,campaign(capterra|capterra_landscape),"",149,nan,nan,true,false,false,true,true,47.0,jobber_basic_subscription_39,false,2014,12,false
471,347,30,30,54,66,United States,Residential Cleaning,Cleaning,2,2,132,2276,3,2,7,0,2,28,42,2,nan,31,20,4,0,100.0,0.058,44.0,66.0,17.242,758.667,1138.0,0.023,0.001,1.5,0.015,0.001,0.667,20,20,false,Intuit,campaign(intuit_appcenter|try_buy),70,nan,62,nan,false,true,true,false,true,62.0,jobber_basic_subscription_39,false,2015,8,false
114,418,102,102,nan,nan,United States,Residential Cleaning,Cleaning,6,6,20,20,0,0,6,0,0,19,36,2,10,61,42,1,0,100.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155,1,false,Paid Search,campaign(adwords),"",166,nan,nan,true,false,false,true,false,66.0,jobber_basic_subscription_39,false,2014,11,true
1299,121,35,30,34,42,United States,Window Washing,Cleaning,1,1,25,62,15,26,1,0,1,5,14,0,nan,31,29,5,3,100.0,0.403,1.667,0.962,2.48,4.133,2.385,0.6,0.242,0.577,1.04,0.419,1.733,72,9,false,Organic Search,organic(google),50,37,97,nan,false,true,true,true,true,39.0,jobber_basic_subscription_39,false,2015,7,false
315,544,120,78,65,78,United States,Construction & Contracting,Trade,12,0,11,154,3,1,0,16,1,27,51,1,10,2,9,29,4,0.0,0.071,3.667,11.0,14.0,51.333,154.0,0.273,0.019,3.0,0.091,0.006,0.333,9,9,false,Intuit,campaign(intuit_appcenter|try_buy),50,33,65,nan,false,false,true,true,true,0.0,monthly_59_basicpro,false,2016,1,false
1091,656,1,1,1,39,Canada,Computers & IT,Hi Tech,6,2,1471,1257,1467,21,6,0,0,17,47,2,nan,61,32,3,0,33.33333333333333,1.17,1.003,70.048,0.855,0.857,59.857,0.997,1.167,69.857,0.014,0.017,0.014,50,2,false,Organic Search,organic(google),"",19,1,nan,false,false,true,false,false,29.0,base_plan_usd,false,2015,5,true
1266,152,43,43,43,nan,United States,Flooring Service,Other,11,1,372,274,385,0,2,0,1,9,20,0,nan,32,0,8,0,9.090909090909092,1.358,0.966,0.0,0.737,0.712,0.0,1.035,1.405,0.0,0.0,0.0,0.0,93,9,true,Direct,direct,60,65,56,nan,false,false,false,true,true,0.0,jobber_basic_subscription_39,false,2015,7,false
2,595,0,0,1,7,United States,HVAC,Trade,3,3,237,479,300,48,2,0,0,9,33,1,nan,61,32,2,0,100.0,0.495,0.79,4.938,2.021,1.597,9.979,1.266,0.626,6.25,0.203,0.1,0.16,270,2,false,Organic Search,organic(google),"",7,4,nan,true,true,true,true,false,48.0,jobber_basic_subscription_39,false,2015,6,true
3111,440,15,15,15,314,United States,Lawn Care & Lawn Maintenance,Green Industry,2,1,88,117,586,6,0,0,0,7,27,0,nan,61,42,5,3,50.0,0.752,0.15,14.667,1.33,0.2,19.5,6.659,5.009,97.667,0.068,0.051,0.01,359,15,false,Paid Search,campaign(bingads|General),100,440,12,nan,false,false,true,false,false,48.0,jobber_basic_subscription_39,false,2016,7,true
685,153,85,85,120,92,Other,Electrical Contractor,Trade,1,1,32,51,16,39,0,0,1,10,22,0,nan,32,0,1,0,100.0,0.627,2.0,0.821,1.594,3.188,1.308,0.5,0.314,0.41,1.219,0.765,2.438,122,29,false,Paid Search,campaign(adwords),50,127,116,nan,false,false,false,false,true,0.0,jobber_basic_subscription_39,false,2015,2,false
1004,92,18,18,19,38,United States,Lawn Care & Lawn Maintenance,Green Industry,0,0,18,20,6,1,0,0,0,3,11,0,nan,32,0,0,0,0.0,0.9,3.0,18.0,1.111,3.333,20.0,0.333,0.3,6.0,0.056,0.05,0.167,12,3,true,Organic Search,organic(google),40,90,28,nan,false,true,false,true,true,0.0,jobber_basic_subscription_39,false,2015,5,false
2218,42,0,0,0,nan,Other,Carpet Cleaning,Cleaning,4,2,123,61,106,0,0,0,0,0,5,0,nan,21,17,6,5,50.0,2.016,1.16,0.0,0.496,0.575,0.0,0.862,1.738,0.0,0.0,0.0,0.0,nan,5,false,Internal,linked_by(secure.getjobber.com),100,39,0,nan,true,false,false,true,false,68.0,monthly_59_basicpro,false,2016,2,false
1144,61,11,11,13,11,United States,HVAC,Trade,1,1,15,361,12,1,1,0,0,4,12,0,nan,32,0,1,0,100.0,0.042,1.25,15.0,24.067,30.083,361.0,0.8,0.033,12.0,0.067,0.003,0.083,9,6,false,Organic Search,organic(google),70,13,13,nan,false,true,true,true,true,0.0,jobber_basic_subscription_39,false,2015,6,false
695,606,207,8,nan,nan,United States,Electrical Contractor,Trade,6,1,2,380,0,0,5,0,0,13,41,1,nan,33,5,0,0,16.666666666666664,0.005,0.0,0.0,190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,238,1,false,Intuit,linked_by(appcenter.intuit.com),"",0,nan,nan,false,false,true,true,false,29.0,base_plan_usd,false,2015,4,true
112,118,46,9,7,1,United States,Handyman,Other,1,1,13,245,16,8,2,0,1,9,15,0,nan,61,41,0,0,100.0,0.053,0.813,1.625,18.846,15.313,30.625,1.231,0.065,2.0,0.615,0.033,0.5,44,1,false,Organic Search,organic(bing),"",45,7,nan,true,true,true,true,false,48.0,jobber_basic_subscription_39,false,2014,11,false
1010,278,51,33,41,34,United States,Lawn Care & Lawn Maintenance,Green Industry,3,1,3,137,1,1,4,0,0,13,22,1,nan,31,16,0,0,33.33333333333333,0.022,3.0,3.0,45.667,137.0,137.0,0.333,0.007,1.0,0.333,0.007,1.0,48,20,false,Paid Listing,campaign(capterra|capterra_landscape),50,16,41,nan,true,false,true,false,true,53.0,jobber_basic_subscription_39,false,2015,5,false
1555,469,3,56,11,35,Other,Commercial Cleaning,Cleaning,6,6,501,134,1441,48,0,0,0,39,59,1,nan,61,32,4,0,100.0,3.739,0.348,10.438,0.267,0.093,2.792,2.876,10.754,30.021,0.096,0.358,0.033,357,1,false,Unknown,-,"",469,11,78,false,true,true,true,false,53.0,jobber_basic_subscription_39,false,2015,9,true
1629,104,20,39,20,104,United States,Residential Cleaning,Cleaning,0,0,18,16,30,1,1,1,1,13,21,0,nan,7,20,1,0,0.0,1.125,0.6,18.0,0.889,0.533,16.0,1.667,1.875,30.0,0.056,0.063,0.033,20,14,false,Direct,direct,90,103,20,nan,true,false,false,false,false,69.0,monthly_59,false,2015,9,false
194,419,27,27,27,69,United States,Lawn Care & Lawn Maintenance,Green Industry,1,1,127,41,77,22,0,0,0,5,24,1,nan,52,40,0,0,100.0,3.098,1.649,5.773,0.323,0.532,1.864,0.606,1.878,3.5,0.173,0.537,0.286,364,9,false,Organic Search,organic(google),"",17,9,19,true,false,true,true,false,49.0,jobber_basic_subscription_39,false,2015,1,true
443,454,125,139,139,145,United States,Lawn Care & Lawn Maintenance,Green Industry,12,2,445,301,803,117,0,0,0,4,22,0,nan,54,26,13,12,16.666666666666664,1.478,0.554,3.803,0.676,0.375,2.573,1.804,2.668,6.863,0.263,0.389,0.146,328,7,false,Paid Search,campaign(adwords),"",222,40,nan,false,false,false,true,false,39.0,jobber_basic_subscription_39,false,2015,4,true
2266,42,38,38,nan,nan,Canada,Residential Cleaning,Cleaning,1,0,4,1,0,0,0,0,0,0,3,0,nan,21,42,0,0,0.0,4.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,16,false,Unknown,-,0,nan,nan,nan,false,true,false,false,false,77.0,monthly_59_basicpro,false,2016,2,false
776,592,132,125,104,155,United States,Renovations,Other,5,0,102,37,96,35,4,0,0,10,38,1,nan,31,28,1,0,0.0,2.757,1.063,2.914,0.363,0.385,1.057,0.941,2.595,2.743,0.343,0.946,0.365,533,29,false,Direct,direct,"",379,104,nan,true,false,false,true,true,57.0,jobber_basic_subscription_39,false,2015,6,false
845,143,44,25,25,119,United States,Lawn Care & Lawn Maintenance,Green Industry,0,0,84,126,82,3,1,0,0,8,21,0,nan,31,11,4,3,0.0,0.667,1.024,28.0,1.5,1.537,42.0,0.976,0.651,27.333,0.036,0.024,0.037,32,11,false,Direct,direct,90,143,19,19,false,true,true,true,true,39.0,jobber_basic_subscription_39,false,2015,7,false
2085,837,140,148,830,148,United States,Renovations,Other,2,2,9,343,3,9,4,0,0,11,23,2,nan,2,29,3,0,100.0,0.026,3.0,1.0,38.111,114.333,38.111,0.333,0.009,0.333,1.0,0.026,3.0,29,36,false,Intuit,campaign(intuit_appcenter|try_buy),70,125,nan,nan,false,true,true,false,true,0.0,monthly_59,false,2016,1,false
1478,73,32,5,5,18,United States,Other,Other,0,0,13,18,7,7,2,0,0,7,15,1,nan,50,25,0,0,0.0,0.722,1.857,1.857,1.385,2.571,2.571,0.538,0.389,1.0,0.538,0.389,1.0,32,11,false,Direct,direct,0,nan,39,nan,false,true,false,false,false,59.0,monthly_59,false,2015,8,false
3186,104,39,8,25,8,United States,Construction & Contracting,Trade,0,0,11,36,7,2,0,1,0,1,9,0,nan,50,28,2,0,0.0,0.306,1.571,5.5,3.273,5.143,18.0,0.636,0.194,3.5,0.182,0.056,0.286,104,0,false,Organic Search,linked_by(nortonsafe.search.ask.com),40,nan,79,nan,false,true,false,true,false,59.0,monthly_59_basicpro,false,2016,7,false
