id,days_since_signup,days_since_job_created,days_since_client_created,days_since_invoice_created,days_since_quote_created,country,industry,industry_category,added_user_count,accepted_added_user_count,job_count,client_count,invoice_count,quote_count,call_count,chat_count,demo_count,interaction_count,activity_count,note_count,last_nps_score,last_activity_type,days_since_activity_event,custom_field_count,property_custom_field_count,percent_added_users_accepted,job_count_over_client_count,job_count_over_invoice_count,job_count_over_quote_count,client_count_over_job_count,client_count_over_invoice_count,client_count_over_quote_count,invoice_count_over_job_count,invoice_count_over_client_count,invoice_count_over_quote_count,quote_count_over_job_count,quote_count_over_client_count,quote_count_over_invoice_count,days_since_interaction,approx_days_since_any_user_login,mobile_signup,campaign_group,campaign_string,engagement_score,days_since_basic_task_completed,days_since_payment_recieved,days_since_epayments_used,time_sheet_entries_used,users_logged_in,synced_to_quickbooks,phone_number,cancellation_request,account_value,plan_code,annual_plan,year,month,renewed
2495,42,nan,nan,nan,nan,United States,Lawn Care & Lawn Maintenance,Green Industry,2,0,0,0,0,0,2,5,0,8,15,0,nan,7,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,29,TRUE,Paid Search,campaign(adwords),0,nan,nan,nan,FALSE,TRUE,FALSE,TRUE,FALSE,91,monthly_59_basicpro,FALSE,2016,4,FALSE
234,323,21,1,7,1,United States,Roofing Service,Other,1,0,24,40,32,31,2,0,0,10,17,0,nan,2,40,0,0,0,0.6,0.75,0.774,1.667,1.25,1.29,1.333,0.8,1.032,1.292,0.775,0.969,40,0,FALSE,Referral,linked_by(softwashsystems.activeboard.com),,34,3,nan,FALSE,FALSE,FALSE,TRUE,FALSE,39,jobber_basic_subscription_39,FALSE,2014,10,TRUE
107,621,284,284,nan,nan,United States,Other,Other,4,3,57,43,0,0,4,0,0,7,31,1,nan,61,43,16,3,75,1.326,0,0,0.754,0,0,0,0,0,0,0,0,532,111,FALSE,Paid Listing,campaign(capterra|capterra_field_service_management),,314,nan,nan,TRUE,TRUE,FALSE,TRUE,FALSE,34,base_plan_usd,FALSE,2014,9,FALSE
2842,931,129,136,122,129,Other,Carpet Cleaning,Cleaning,12,11,284,159,644,183,2,2,0,11,51,1,nan,61,42,3,0,91.66666667,1.786,0.441,1.552,0.56,0.247,0.869,2.268,4.05,3.519,0.644,1.151,0.284,289,67,FALSE,Direct,direct,,144,67,nan,TRUE,TRUE,TRUE,TRUE,FALSE,62,jobber_basic_subscription_39,FALSE,2016,6,TRUE
3370,776,215,305,26,286,United States,Commercial Cleaning,Cleaning,1,1,179,13,190,37,0,0,0,20,50,0,nan,56,35,1,0,100,13.769,0.942,4.838,0.073,0.068,0.351,1.061,14.615,5.135,0.207,2.846,0.195,236,26,FALSE,Paid Listing,campaign(capterra|capterra_maid_services),,493,26,nan,FALSE,TRUE,FALSE,TRUE,FALSE,39,jobber_basic_subscription_39,FALSE,2016,8,FALSE
678,684,6,27,6,62,United States,Lawn Care & Lawn Maintenance,Green Industry,0,0,96,53,688,25,5,0,0,6,32,1,nan,61,43,7,3,0,1.811,0.14,3.84,0.552,0.077,2.12,7.167,12.981,27.52,0.26,0.472,0.036,260,1,FALSE,Organic Search,organic(google),,668,1,nan,FALSE,TRUE,FALSE,TRUE,FALSE,29,base_plan_usd,FALSE,2015,2,TRUE
1249,595,152,98,150,nan,United States,Window Washing,Cleaning,1,0,167,136,75,0,0,0,0,6,31,0,nan,61,42,5,3,0,1.228,2.227,0,0.814,1.813,0,0.449,0.551,0,0,0,0,182,70,FALSE,Unknown,-,,163,150,nan,FALSE,FALSE,TRUE,TRUE,FALSE,39,jobber_basic_subscription_39,FALSE,2016,1,FALSE
1242,880,5,3,5,3,United States,Lawn Care & Lawn Maintenance,Green Industry,2,0,305,133,579,102,2,0,0,7,40,1,nan,61,41,5,3,0,2.293,0.527,2.99,0.436,0.23,1.304,1.898,4.353,5.676,0.334,0.767,0.176,274,1,FALSE,Organic Search,organic(google),,22,5,5,TRUE,FALSE,FALSE,TRUE,FALSE,52,jobber_basic_subscription_39,FALSE,2016,4,TRUE
675,650,5,11,17,160,United States,Lawn Care & Lawn Maintenance,Green Industry,1,1,262,410,574,1,2,0,0,9,22,1,7,61,40,4,3,100,0.639,0.456,262,1.565,0.714,410,2.191,1.4,574,0.004,0.002,0.002,82,5,FALSE,Organic Search,organic(google),,164,6,nan,FALSE,TRUE,FALSE,TRUE,FALSE,39,jobber_basic_subscription_39,FALSE,2015,3,TRUE
1350,498,6,5,6,5,United States,Lawn Care & Lawn Maintenance,Green Industry,0,0,26,72,292,46,0,0,0,7,27,0,nan,61,42,5,3,0,0.361,0.089,0.565,2.769,0.247,1.565,11.231,4.056,6.348,1.769,0.639,0.158,408,0,TRUE,Organic Search,organic(google),,444,5,10,FALSE,FALSE,FALSE,TRUE,FALSE,44,jobber_basic_subscription_39,FALSE,2015,7,TRUE
1237,254,6,0,3,0,United States,Construction & Contracting,Trade,43,3,78,1754,58,647,4,0,4,54,71,1,nan,54,0,15,0,6.976744186,0.044,1.345,0.121,22.487,30.241,2.711,0.744,0.033,0.09,8.295,0.369,11.155,69,3,FALSE,Paid Listing,campaign(capterra|capterra_field_service_management),90,0,43,nan,FALSE,FALSE,TRUE,FALSE,FALSE,93,jobber_basic_subscription_39,FALSE,2015,7,TRUE
497,529,89,97,11,68,Canada,Renovations,Other,22,3,23,17,21,31,2,0,0,5,27,1,nan,52,30,10,1,13.63636364,1.353,1.095,0.742,0.739,0.81,0.548,0.913,1.235,0.677,1.348,1.824,1.476,430,1,FALSE,Paid Search,campaign(adwords),,64,20,nan,TRUE,FALSE,FALSE,FALSE,FALSE,38,base_plan_usd,FALSE,2014,12,TRUE
1327,900,296,301,241,301,United States,Residential Cleaning,Cleaning,7,0,5,33,8,9,3,0,0,5,39,1,nan,61,30,5,0,0,0.152,0.625,0.556,6.6,4.125,3.667,1.6,0.242,0.889,1.8,0.273,1.125,104,241,FALSE,Organic Search,organic(google),,760,296,nan,TRUE,TRUE,FALSE,TRUE,FALSE,34,base_plan_usd,FALSE,2015,7,FALSE
516,678,nan,85,0,nan,United States,Lawn Care & Lawn Maintenance,Green Industry,0,0,0,11,143,0,3,0,0,8,36,1,nan,2,16,4,3,0,0,0,0,0,0.077,0,0,13,0,0,0,0,16,2,FALSE,Paid Search,campaign(adwords),70,678,0,0,FALSE,TRUE,FALSE,TRUE,FALSE,34,base_plan_usd,FALSE,2015,2,TRUE
301,1063,12,4,4,136,Canada,Residential Cleaning,Cleaning,21,3,324,90,504,28,6,9,1,46,92,1,nan,56,14,4,0,14.28571429,3.6,0.643,11.571,0.278,0.179,3.214,1.556,5.6,18,0.086,0.311,0.056,48,4,FALSE,Unknown,-,,1054,4,519,FALSE,FALSE,FALSE,FALSE,FALSE,34,base_plan_usd,FALSE,2016,8,TRUE
1478,73,32,5,5,18,United States,Other,Other,0,0,13,18,7,7,2,0,0,7,15,1,nan,50,25,0,0,0,0.722,1.857,1.857,1.385,2.571,2.571,0.538,0.389,1,0.538,0.389,1,32,11,FALSE,Direct,direct,0,nan,39,nan,FALSE,TRUE,FALSE,FALSE,FALSE,59,monthly_59,FALSE,2015,8,FALSE
3247,1204,804,754,754,850,United States,Lawn Care & Lawn Maintenance,Green Industry,2,0,43,8,70,16,2,1,0,5,51,2,nan,56,16,5,3,0,5.375,0.614,2.688,0.186,0.114,0.5,1.628,8.75,4.375,0.372,2,0.229,42,42,FALSE,Paid Listing,campaign(capterra|capterra_landscape),,1053,850,nan,TRUE,TRUE,FALSE,TRUE,FALSE,0,base_plan_usd,FALSE,2016,8,FALSE
803,205,39,0,25,0,United States,Other,Other,3,3,53,231,70,227,2,0,0,9,23,1,nan,61,12,4,1,100,0.229,0.757,0.233,4.358,3.3,1.018,1.321,0.303,0.308,4.283,0.983,3.243,174,0,FALSE,Paid Listing,campaign(capterra|capterra_scheduling),110,nan,10,24,TRUE,FALSE,TRUE,TRUE,FALSE,67,jobber_basic_subscription_39,FALSE,2015,5,TRUE
1821,164,nan,156,nan,nan,United States,Renovations,Other,2,2,0,34,0,0,2,1,1,8,24,6,nan,52,26,2,0,100,0,0,0,0,0,0,0,0,0,0,0,0,56,57,FALSE,Paid Listing,campaign(GetApp|Scheduling),40,nan,nan,nan,FALSE,TRUE,FALSE,TRUE,FALSE,59,monthly_59_basicpro,FALSE,2015,11,FALSE
2058,78,1,1,1,22,United States,Lawn Care & Lawn Maintenance,Green Industry,0,0,25,33,46,6,5,3,0,12,20,0,nan,61,42,4,3,0,0.758,0.543,4.167,1.32,0.717,5.5,1.84,1.394,7.667,0.24,0.182,0.13,43,2,FALSE,Paid Search,campaign(bingads|General),110,19,1,15,FALSE,FALSE,TRUE,FALSE,FALSE,64,monthly_59_basicpro,FALSE,2016,1,TRUE
692,654,557,163,8,nan,United States,Lawn Care & Lawn Maintenance,Green Industry,0,0,4,20,212,0,2,0,0,16,40,1,nan,61,43,8,5,0,0.2,0.019,0,5,0.094,0,53,10.6,0,0,0,0,262,10,FALSE,Direct,direct,,654,10,nan,FALSE,TRUE,FALSE,FALSE,FALSE,29,base_plan_usd,FALSE,2015,2,TRUE
1377,476,0,0,0,473,United States,Appliance Repair,Other,2,2,658,505,309,1,1,0,0,5,33,0,nan,61,42,1,0,100,1.303,2.129,658,0.767,1.634,505,0.47,0.612,309,0.002,0.002,0.003,443,2,FALSE,Paid Listing,campaign(capterra|capterra_field_service_management),110,93,49,60,TRUE,TRUE,TRUE,TRUE,FALSE,53,jobber_basic_subscription_39,FALSE,2016,8,TRUE
2887,562,165,165,218,nan,United States,Construction & Contracting,Trade,1,1,1,49,1,0,1,2,0,7,32,0,nan,61,43,1,0,100,0.02,1,0,49,49,0,1,0.02,0,0,0,0,164,148,FALSE,Paid Search,campaign(adwords),10,158,nan,nan,FALSE,TRUE,FALSE,TRUE,FALSE,39,jobber_basic_subscription_39,FALSE,2016,6,FALSE
3269,651,154,54,1,307,United States,Arborist / Tree Care,Green Industry,4,0,70,51,76,44,4,0,0,8,40,0,9,56,19,4,0,0,1.373,0.921,1.591,0.729,0.671,1.159,1.086,1.49,1.727,0.629,0.863,0.579,565,1,FALSE,Organic Search,organic(google),70,270,2,nan,TRUE,FALSE,TRUE,TRUE,FALSE,53,jobber_basic_subscription_39,FALSE,2016,8,TRUE
941,496,nan,nan,nan,nan,United States,Lawn Care & Lawn Maintenance,Green Industry,0,0,0,0,0,0,0,0,0,1,19,0,nan,54,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,406,5,FALSE,Organic Search,organic(google),,nan,nan,nan,FALSE,TRUE,FALSE,TRUE,FALSE,42,jobber_basic_subscription_39,FALSE,2015,4,TRUE
1521,244,41,41,nan,133,Other,Other,Other,14,3,229,132,0,2,0,1,0,6,19,0,nan,7,13,8,0,21.42857143,1.735,0,114.5,0.576,0,66,0,0,0,0.009,0.015,0,13,0,FALSE,Internal,linked_by(secure.getjobber.com:443),60,19,nan,nan,TRUE,FALSE,FALSE,FALSE,FALSE,53,jobber_basic_subscription_39,FALSE,2015,9,TRUE
1088,533,76,159,75,159,United States,Other,Other,6,6,35,64,39,16,0,0,0,5,22,1,1,61,42,0,0,100,0.547,0.897,2.188,1.829,1.641,4,1.114,0.609,2.438,0.457,0.25,0.41,265,25,FALSE,Intuit,campaign(intuit_appcenter|try_buy),,202,75,75,TRUE,TRUE,TRUE,FALSE,FALSE,103,jobber_basic_subscription_39,FALSE,2015,5,FALSE
478,209,0,3,3,12,United States,Lawn Care & Lawn Maintenance,Green Industry,1,1,13,119,44,2,2,0,0,6,8,0,nan,2,12,4,3,100,0.109,0.295,6.5,9.154,2.705,59.5,3.385,0.37,22,0.154,0.017,0.045,12,0,FALSE,Unknown,-,10,209,4,nan,FALSE,TRUE,FALSE,TRUE,FALSE,48,jobber_basic_subscription_39,FALSE,2014,12,TRUE
2557,111,41,41,41,nan,United States,Handyman,Other,0,0,7,5,4,0,8,3,0,14,21,0,nan,7,22,0,0,0,1.4,1.75,0,0.714,1.25,0,0.571,0.8,0,0,0,0,22,22,TRUE,Unknown,-,70,nan,22,nan,TRUE,TRUE,FALSE,TRUE,FALSE,64,monthly_59_basicpro,FALSE,2016,4,FALSE
504,229,94,91,91,nan,United States,Handyman,Other,0,0,10,113,3,0,1,0,1,7,14,0,nan,61,42,0,0,0,0.088,3.333,0,11.3,37.667,0,0.3,0.027,0,0,0,0,87,91,FALSE,Intuit,campaign(intuit_appcenter|try_buy),,91,95,nan,FALSE,FALSE,FALSE,FALSE,FALSE,48,jobber_basic_subscription_39,FALSE,2014,12,TRUE
35,682,41,4,4,25,Canada,Lawn Care & Lawn Maintenance,Green Industry,1,1,71,90,234,19,1,9,0,24,63,3,nan,24,41,4,3,100,0.789,0.303,3.737,1.268,0.385,4.737,3.296,2.6,12.316,0.268,0.211,0.081,80,6,FALSE,Unknown,-,120,681,3,3,TRUE,TRUE,FALSE,FALSE,FALSE,49,jobber_basic_subscription_39,FALSE,2016,4,TRUE
130,282,23,87,nan,86,United States,Lawn Care & Lawn Maintenance,Green Industry,4,4,65,183,0,3,0,0,0,5,10,0,nan,2,30,0,0,100,0.355,0,21.667,2.815,0,61,0,0,0,0.046,0.016,0,30,18,FALSE,Intuit,campaign(intuit_appcenter|try_buy),,87,nan,nan,TRUE,TRUE,TRUE,FALSE,FALSE,71,jobber_basic_subscription_39,FALSE,2014,10,FALSE
1694,38,6,0,5,4,United States,Construction & Contracting,Trade,13,13,6,1273,13,17,4,5,0,11,15,0,nan,7,0,2,0,100,0.005,0.462,0.353,212.167,97.923,74.882,2.167,0.01,0.765,2.833,0.013,1.308,0,0,FALSE,Organic Search,organic(bing),110,6,5,5,FALSE,FALSE,FALSE,TRUE,FALSE,100,monthly_59_basicpro,FALSE,2015,10,TRUE
86,804,31,51,2,62,Canada,Handyman,Other,0,0,376,121,691,86,4,0,2,20,59,4,9,61,38,2,0,0,3.107,0.544,4.372,0.322,0.175,1.407,1.838,5.711,8.035,0.229,0.711,0.124,200,1,TRUE,Paid Search,campaign(bingads|bingads),,2,6,nan,TRUE,FALSE,TRUE,TRUE,FALSE,39,jobber_basic_subscription_39,FALSE,2016,1,TRUE
2143,407,3,4,3,2,Canada,Renovations,Other,4,3,116,486,123,193,5,1,2,17,51,0,10,61,33,3,0,75,0.239,0.943,0.601,4.19,3.951,2.518,1.06,0.253,0.637,1.664,0.397,1.569,131,2,FALSE,Organic Search,organic(google),30,14,5,nan,TRUE,TRUE,TRUE,FALSE,FALSE,48,jobber_basic_subscription_39,FALSE,2016,1,TRUE
516,623,nan,30,2,nan,United States,Lawn Care & Lawn Maintenance,Green Industry,0,0,0,11,131,0,3,0,0,4,28,1,nan,52,35,4,3,0,0,0,0,0,0.084,0,0,11.909,0,0,0,0,213,2,FALSE,Paid Search,campaign(adwords),,623,2,20,FALSE,TRUE,FALSE,TRUE,FALSE,34,base_plan_usd,FALSE,2014,12,TRUE
86,604,10,10,2,14,Canada,Handyman,Other,0,0,337,107,499,78,3,0,2,19,51,4,9,61,43,0,0,0,3.15,0.675,4.321,0.318,0.214,1.372,1.481,4.664,6.397,0.231,0.729,0.156,203,2,TRUE,Paid Search,campaign(bingads|bingads),,10,8,nan,TRUE,FALSE,TRUE,TRUE,FALSE,48,jobber_basic_subscription_39,FALSE,2015,6,TRUE
2814,444,nan,15,15,nan,United States,Other,Other,0,0,0,39,30,0,4,1,0,7,23,6,nan,50,1,0,0,0,0,0,0,0,1.3,0,0,0.769,0,0,0,0,39,0,FALSE,Organic Search,organic(google),10,444,nan,nan,FALSE,TRUE,FALSE,FALSE,FALSE,59,monthly_59_basicpro,FALSE,2016,6,TRUE
294,739,23,23,23,23,United States,Lawn Care & Lawn Maintenance,Green Industry,0,0,55,35,118,1,3,0,3,27,46,1,nan,61,37,4,3,0,1.571,0.466,55,0.636,0.297,35,2.145,3.371,118,0.018,0.029,0.008,74,10,FALSE,Paid Listing,campaign(getapp|get_app|getapp),70,64,21,nan,TRUE,TRUE,FALSE,TRUE,FALSE,39,jobber_basic_subscription_39,FALSE,2015,6,TRUE
149,567,60,14,14,34,United States,Electrical Contractor,Trade,0,0,105,170,213,67,0,0,0,7,32,0,nan,61,38,0,0,0,0.618,0.493,1.567,1.619,0.798,2.537,2.029,1.253,3.179,0.638,0.394,0.315,419,14,FALSE,Direct,direct,,406,24,49,FALSE,TRUE,FALSE,TRUE,FALSE,44,jobber_basic_subscription_39,FALSE,2015,9,TRUE
1338,493,18,47,0,47,United States,Safety and Fire Control,Other,1,0,48,17,210,26,3,2,1,15,35,0,nan,61,42,1,0,0,2.824,0.229,1.846,0.354,0.081,0.654,4.375,12.353,8.077,0.542,1.529,0.124,42,0,FALSE,Intuit,campaign(intuit_appcenter|try_buy),,nan,22,nan,TRUE,FALSE,TRUE,FALSE,FALSE,48,jobber_basic_subscription_39,FALSE,2015,12,TRUE
906,285,13,21,7,242,United States,Pressure Washing Service,Cleaning,1,0,20,7,21,2,0,0,0,4,17,0,nan,54,19,1,0,0,2.857,0.952,10,0.35,0.333,3.5,1.05,3,10.5,0.1,0.286,0.095,222,7,FALSE,Paid Search,campaign(adwords),,nan,13,nan,TRUE,FALSE,FALSE,TRUE,FALSE,39,jobber_basic_subscription_39,FALSE,2015,4,TRUE
194,419,27,27,27,69,United States,Lawn Care & Lawn Maintenance,Green Industry,1,1,127,41,77,22,0,0,0,5,24,1,nan,52,40,0,0,100,3.098,1.649,5.773,0.323,0.532,1.864,0.606,1.878,3.5,0.173,0.537,0.286,364,9,FALSE,Organic Search,organic(google),,17,9,19,TRUE,FALSE,TRUE,TRUE,FALSE,49,jobber_basic_subscription_39,FALSE,2015,1,TRUE
1600,56,nan,56,nan,nan,Canada,Residential Cleaning,Cleaning,0,0,0,1,0,0,2,1,0,7,13,0,nan,2,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,28,FALSE,Paid Search,campaign(bingads|General),0,nan,nan,nan,FALSE,FALSE,FALSE,FALSE,FALSE,73,monthly_59,FALSE,2015,9,TRUE
430,287,27,60,27,27,United States,Lawn Care & Lawn Maintenance,Green Industry,0,0,37,43,252,37,1,0,0,6,19,0,nan,52,12,0,0,0,0.86,0.147,1,1.162,0.171,1.162,6.811,5.86,6.811,1,0.86,0.147,183,27,FALSE,Internal,linked_by(getjobber.com),,nan,15,nan,FALSE,TRUE,TRUE,TRUE,FALSE,48,jobber_basic_subscription_39,FALSE,2014,12,TRUE
610,539,3,52,3,11,United States,Safety and Fire Control,Other,1,0,95,22,46,6,0,0,0,12,35,0,nan,61,43,1,0,0,4.318,2.065,15.833,0.232,0.478,3.667,0.484,2.091,7.667,0.063,0.273,0.13,91,6,FALSE,Video,linked_by(youtube.com),70,539,16,nan,TRUE,FALSE,FALSE,TRUE,FALSE,39,jobber_basic_subscription_39,FALSE,2015,7,TRUE
1234,77,0,0,2,0,United States,Lawn Care & Lawn Maintenance,Green Industry,4,2,62,47,53,44,2,0,0,7,16,0,nan,2,17,4,3,50,1.319,1.17,1.409,0.758,0.887,1.068,0.855,1.128,1.205,0.71,0.936,0.83,17,3,FALSE,Paid Search,campaign(adwords),80,2,0,1,TRUE,FALSE,FALSE,TRUE,FALSE,76,jobber_basic_subscription_39,FALSE,2015,7,TRUE
2613,54,1,0,1,1,United States,Electrical Contractor,Trade,3,3,48,25,52,39,2,7,0,11,19,0,nan,7,10,1,0,100,1.92,0.923,1.231,0.521,0.481,0.641,1.083,2.08,1.333,0.813,1.56,0.75,10,3,FALSE,Internal,linked_by(secure.getjobber.com),70,1,1,nan,TRUE,TRUE,FALSE,TRUE,FALSE,100,monthly_59_basicpro,FALSE,2016,4,TRUE
31,735,3,4,1,4,United States,Residential Cleaning,Cleaning,25,8,661,691,1160,865,4,0,0,23,63,3,10,2,22,17,8,32,0.957,0.57,0.764,1.045,0.596,0.799,1.755,1.679,1.341,1.309,1.252,0.746,22,7,FALSE,Unknown,-,,12,2,4,TRUE,FALSE,FALSE,TRUE,FALSE,34,base_plan_usd,FALSE,2015,5,TRUE
634,529,226,228,224,245,United States,Lawn Care & Lawn Maintenance,Green Industry,2,2,159,114,102,29,5,0,0,11,35,1,nan,61,43,13,8,100,1.395,1.559,5.483,0.717,1.118,3.931,0.642,0.895,3.517,0.182,0.254,0.284,248,206,FALSE,Direct,direct,,295,214,214,TRUE,TRUE,TRUE,TRUE,FALSE,69,base_plan_usd,FALSE,2015,1,FALSE
