id,days_since_signup,days_since_job_created,days_since_client_created,days_since_invoice_created,days_since_quote_created,country,industry,industry_category,added_user_count,accepted_added_user_count,job_count,client_count,invoice_count,quote_count,call_count,chat_count,demo_count,interaction_count,activity_count,note_count,last_nps_score,last_activity_type,days_since_activity_event,custom_field_count,property_custom_field_count,percent_added_users_accepted,job_count_over_client_count,job_count_over_invoice_count,job_count_over_quote_count,client_count_over_job_count,client_count_over_invoice_count,client_count_over_quote_count,invoice_count_over_job_count,invoice_count_over_client_count,invoice_count_over_quote_count,quote_count_over_job_count,quote_count_over_client_count,quote_count_over_invoice_count,days_since_interaction,approx_days_since_any_user_login,mobile_signup,campaign_group,campaign_string,engagement_score,days_since_basic_task_completed,days_since_payment_recieved,days_since_epayments_used,time_sheet_entries_used,users_logged_in,synced_to_quickbooks,phone_number,cancellation_request,account_value,plan_code,annual_plan,renewed
262,653,4,4,24,146,Canada,Residential Cleaning,Cleaning,9,6,89,72,4,1,10,0,0,21,44,1,,61,42,0,0,66.66666666666666,1.236,22.25,89.0,0.809,18.0,72.0,0.045,0.056,4.0,0.011,0.014,0.25,98,4,false,Paid Listing,campaign(capterra|capterra_maid_services),"",39,24,,true,false,true,true,false,53.0,jobber_basic_subscription_39,false,true
263,226,29,3,29,2,Canada,Networking & Communication,Hi Tech,1,0,19,20,67,19,0,0,0,6,15,0,,61,42,2,0,0.0,0.95,0.284,1.0,1.053,0.299,1.053,3.526,3.35,3.526,1.0,0.95,0.284,121,3,false,Paid Search,campaign(adwords),"",207,3,,false,false,false,true,false,39.0,jobber_basic_subscription_39,false,true
264,621,5,5,,,United States,Lawn Care & Lawn Maintenance,Green Industry,9,1,1669,2110,0,0,7,0,0,11,35,1,,61,42,4,3,11.11111111111111,0.791,0.0,0.0,1.264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158,5,false,Organic Search,organic(google),"",58,,,false,false,true,true,false,56.0,base_plan_usd,false,true
265,589,,25,,,United States,Lawn Care & Lawn Maintenance,Green Industry,4,1,0,52,0,0,6,0,0,11,25,1,,2,9,5,4,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,19,false,Direct,direct,70,530,,,true,false,false,true,true,48.0,jobber_basic_subscription_39,false,false
266,199,45,6,43,136,United States,Residential Cleaning,Cleaning,6,1,32,34,48,1,0,0,1,12,23,1,,31,33,6,3,16.666666666666664,0.941,0.667,32.0,1.063,0.708,34.0,1.5,1.412,48.0,0.031,0.029,0.021,45,33,false,Paid Listing,campaign(capterra|capterra_maid_services),"",198,43,,true,true,true,true,false,44.0,jobber_basic_subscription_39,false,false
267,30,,30,,,Other,Other,Other,0,0,0,1,0,0,0,0,0,5,12,1,,2,5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,10,false,Internal,linked_by(learn.getjobber.com),0,,,,false,true,false,true,true,39.0,jobber_basic_subscription_39,false,false
268,256,39,57,39,80,United States,HVAC,Trade,0,0,22,45,46,17,0,0,0,5,15,0,,61,42,0,0,0.0,0.489,0.478,1.294,2.045,0.978,2.647,2.091,1.022,2.706,0.773,0.378,0.37,152,19,false,Intuit,campaign(intuit_appcenter|try_buy),"",236,19,,true,false,true,false,false,48.0,jobber_basic_subscription_39,false,true
269,72,16,25,16,24,United States,Computers & IT,Hi Tech,5,2,203,14,186,23,2,0,2,10,15,0,,3,23,5,1,40.0,14.5,1.091,8.826,0.069,0.075,0.609,0.916,13.286,8.087,0.113,1.643,0.124,23,16,false,Paid Listing,campaign(getapp|get_app),"",16,24,,true,true,true,true,false,71.0,jobber_basic_subscription_39,false,true
270,362,19,24,9,,United States,Lawn Care & Lawn Maintenance,Green Industry,1,0,4,131,3,0,1,0,0,5,9,1,,2,2,4,3,0.0,0.031,1.333,0.0,32.75,43.667,0.0,0.75,0.023,0.0,0.0,0.0,0.0,2,9,false,Paid Listing,campaign(capterra|capterra_landscape),10,24,,,false,true,true,true,false,48.0,jobber_basic_subscription_39,false,false
271,93,,48,,,United States,Flooring Service,Other,26,6,0,4115,0,0,1,0,1,10,16,0,,31,10,12,0,23.076923076923077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,10,false,Intuit,campaign(intuit_appcenter|try_buy),"",92,,,false,true,true,false,true,93.0,jobber_basic_subscription_39,false,false
272,529,104,107,59,104,Other,Residential Cleaning,Cleaning,34,2,236,375,599,233,2,0,0,40,64,1,10,2,2,1,0,5.88235294117647,0.629,0.394,1.013,1.589,0.626,1.609,2.538,1.597,2.571,0.987,0.621,0.389,2,6,false,Organic Search,organic(google),"",97,58,68,false,true,true,true,false,34.0,base_plan_usd,false,false
273,94,25,48,25,75,United States,Renovations,Other,0,0,2,9,10,2,1,0,0,9,15,0,,2,3,0,0,0.0,0.222,0.2,1.0,4.5,0.9,4.5,5.0,1.111,5.0,1.0,0.222,0.2,3,4,false,Paid Search,campaign(adwords),"",,4,,false,true,false,true,true,39.0,jobber_basic_subscription_39,false,false
274,227,5,3,10,3,United States,HVAC,Trade,5,0,26,221,152,113,0,0,0,5,17,0,,61,42,1,0,0.0,0.118,0.171,0.23,8.5,1.454,1.956,5.846,0.688,1.345,4.346,0.511,0.743,125,7,false,Organic Search,organic(google),"",56,45,,false,true,false,true,false,66.0,jobber_basic_subscription_39,false,true
275,91,,39,39,42,United States,Other,Other,2,2,0,277,78,13,7,0,0,18,25,1,,50,21,0,0,100.0,0.0,0.0,0.0,0.0,3.551,21.308,0.0,0.282,6.0,0.0,0.047,0.167,24,27,false,Intuit,campaign(intuit_appcenter|try_buy),"",61,40,,false,true,true,false,true,57.0,jobber_basic_subscription_39,false,false
276,61,60,60,60,,United States,Plumbing,Trade,0,0,3,676,3,0,0,0,0,8,13,0,,50,14,6,0,0.0,0.004,1.0,0.0,225.333,225.333,0.0,1.0,0.004,0.0,0.0,0.0,0.0,24,26,false,Direct,direct,"",,60,,false,true,true,true,true,48.0,jobber_basic_subscription_39,false,false
277,426,207,171,171,302,United States,Flooring Service,Other,3,3,24,66,61,2,1,0,0,3,22,1,,31,27,1,0,100.0,0.364,0.393,12.0,2.75,1.082,33.0,2.542,0.924,30.5,0.083,0.03,0.033,297,0,false,Organic Search,organic(google),"",356,171,,false,false,true,true,true,48.0,jobber_basic_subscription_39,false,false
278,355,,20,11,,United States,Other,Other,1,1,0,40,89,0,2,0,0,11,24,1,,61,39,3,1,100.0,0.0,0.0,0.0,0.0,0.449,0.0,0.0,2.225,0.0,0.0,0.0,0.0,264,0,true,Direct,direct,"",347,20,,false,false,true,true,false,48.0,jobber_basic_subscription_39,false,true
279,61,25,25,50,53,United States,Lawn Care & Lawn Maintenance,Green Industry,1,0,46,44,3,2,2,0,1,10,15,0,,2,1,4,3,0.0,1.045,15.333,23.0,0.957,14.667,22.0,0.065,0.068,1.5,0.043,0.045,0.667,1,4,false,Organic Search,organic(bing),60,61,44,,true,true,false,false,true,39.0,jobber_basic_subscription_39,false,false
280,284,0,0,1,41,Other,Residential Cleaning,Cleaning,51,5,18335,1313,16000,5494,0,0,0,6,20,0,,61,13,2,0,9.803921568627452,13.964,1.146,3.337,0.072,0.082,0.239,0.873,12.186,2.912,0.3,4.184,0.343,173,1,false,Direct,direct,"",13,0,,true,false,true,true,false,89.0,jobber_basic_subscription_39,false,true
26,279,276,57,57,144,United States,Plumbing,Trade,6,1,4,45,25,2,1,0,1,10,21,0,,61,42,0,0,16.666666666666664,0.089,0.16,2.0,11.25,1.8,22.5,6.25,0.556,12.5,0.5,0.044,0.08,57,29,false,Organic Search,organic(google),"",,57,,false,true,false,true,false,44.0,jobber_basic_subscription_39,false,false
281,208,56,56,32,152,United States,Lawn Care & Lawn Maintenance,Green Industry,1,0,4,6,8,5,2,0,0,18,26,0,,61,42,4,3,0.0,0.667,0.5,0.8,1.5,0.75,1.2,2.0,1.333,1.6,1.25,0.833,0.625,48,32,false,Paid Listing,campaign(capterra|capterra_landscape),"",152,32,,false,true,false,true,false,44.0,jobber_basic_subscription_39,false,true
