id,days_since_signup,days_since_job_created,days_since_client_created,days_since_invoice_created,days_since_quote_created,country,industry,industry_category,added_user_count,accepted_added_user_count,job_count,client_count,invoice_count,quote_count,call_count,chat_count,demo_count,interaction_count,activity_count,note_count,last_nps_score,last_activity_type,days_since_activity_event,custom_field_count,property_custom_field_count,percent_added_users_accepted,job_count_over_client_count,job_count_over_invoice_count,job_count_over_quote_count,client_count_over_job_count,client_count_over_invoice_count,client_count_over_quote_count,invoice_count_over_job_count,invoice_count_over_client_count,invoice_count_over_quote_count,quote_count_over_job_count,quote_count_over_client_count,quote_count_over_invoice_count,days_since_interaction,approx_days_since_any_user_login,mobile_signup,campaign_group,campaign_string,engagement_score,days_since_basic_task_completed,days_since_payment_recieved,days_since_epayments_used,time_sheet_entries_used,users_logged_in,synced_to_quickbooks,phone_number,cancellation_request,account_value,plan_code,annual_plan,renewed
1892,90,48,42,48,47,United States,Construction & Contracting,Trade,2,2,16,36,17,10,4,3,0,12,22,0,,2,16,1,0,100.0,0.444,0.941,1.6,2.25,2.118,3.6,1.063,0.472,1.7,0.625,0.278,0.588,16,8,false,Paid Search,campaign(adwords),80,68,48,,true,true,false,true,true,0.0,monthly_59_basicpro,false,false
1335,696,516,85,27,85,United States,Lawn Care & Lawn Maintenance,Green Industry,0,0,4,29,230,12,1,0,1,10,38,0,10,61,42,8,6,0.0,0.138,0.017,0.333,7.25,0.126,2.417,57.5,7.931,19.167,3.0,0.414,0.052,126,27,false,Unknown,-,"",594,27,154,true,true,false,true,false,44.0,jobber_basic_subscription_39,false,true
1893,348,34,39,223,,United States,Irrigation Services,Green Industry,2,2,1563,682,47,0,1,2,1,16,41,0,,2,17,1,0,100.0,2.292,33.255,0.0,0.436,14.511,0.0,0.03,0.069,0.0,0.0,0.0,0.0,17,6,true,Unknown,-,30,203,223,,true,false,true,true,true,0.0,jobber_basic_subscription_39,false,false
797,551,33,2,48,50,United States,Residential Cleaning,Cleaning,41,8,1204,1088,3488,27,7,1,3,21,50,0,8,7,25,26,4,19.51219512195122,1.107,0.345,44.593,0.904,0.312,40.296,2.897,3.206,129.185,0.022,0.025,0.008,25,8,false,Unknown,-,"",8,36,75,true,false,true,true,false,94.0,jobber_basic_subscription_39,false,false
1894,30,,,,,United States,Other,Other,4,4,0,0,0,0,1,5,0,7,13,0,,2,17,6,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,22,false,Organic Search,organic(google),20,,,,false,false,false,true,true,0.0,monthly_59_basicpro,false,false
1895,296,37,148,,,United States,Residential Cleaning,Cleaning,2,0,25,4,0,0,3,1,0,13,25,0,,2,17,1,0,0.0,6.25,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,21,true,Direct,direct,10,37,,,false,false,false,true,true,0.0,jobber_basic_subscription_39,false,false
1896,377,1,7,1,7,United States,Residential Cleaning,Cleaning,9,6,50,33,140,34,6,0,0,13,39,1,10,8,6,0,0,66.66666666666666,1.515,0.357,1.471,0.66,0.236,0.971,2.8,4.242,4.118,0.68,1.03,0.243,287,2,false,Free Listing,linked_by(www.capterra.com),50,6,12,27,true,false,false,true,false,58.0,jobber_basic_subscription_39,false,true
1897,63,26,53,26,53,United States,Commercial Cleaning,Cleaning,68,2,2,3875,1,1,1,3,2,10,19,1,,2,22,0,0,2.941176470588235,0.001,2.0,2.0,1937.5,3875.0,3875.0,0.5,0.0,1.0,0.5,0.0,1.0,22,19,false,Direct,direct,50,,,,false,false,true,true,true,0.0,monthly_59_basicpro,false,false
1898,90,34,40,31,38,United States,Lawn Care & Lawn Maintenance,Green Industry,4,2,205,128,96,1,1,11,0,17,26,0,,2,3,4,3,50.0,1.602,2.135,205.0,0.624,1.333,128.0,0.468,0.75,96.0,0.005,0.008,0.01,3,5,false,Paid Listing,campaign(capterra|capterra_landscape),70,33,37,,true,false,true,true,true,0.0,monthly_59_basicpro,false,false
1899,42,14,14,15,14,United States,Window Washing,Cleaning,0,0,9,11,3,11,1,1,0,3,8,0,,1,20,0,0,0.0,0.818,3.0,0.818,1.222,3.667,1.0,0.333,0.273,0.273,1.222,1.0,3.667,20,9,true,Organic Search,organic(google),50,42,15,,false,true,false,true,false,59.0,monthly_59_basicpro,false,false
