id,days_since_signup,days_since_job_created,days_since_client_created,days_since_invoice_created,days_since_quote_created,country,industry,industry_category,added_user_count,accepted_added_user_count,job_count,client_count,invoice_count,quote_count,call_count,chat_count,demo_count,interaction_count,activity_count,note_count,last_nps_score,last_activity_type,days_since_activity_event,custom_field_count,property_custom_field_count,percent_added_users_accepted,job_count_over_client_count,job_count_over_invoice_count,job_count_over_quote_count,client_count_over_job_count,client_count_over_invoice_count,client_count_over_quote_count,invoice_count_over_job_count,invoice_count_over_client_count,invoice_count_over_quote_count,quote_count_over_job_count,quote_count_over_client_count,quote_count_over_invoice_count,days_since_interaction,approx_days_since_any_user_login,mobile_signup,campaign_group,campaign_string,engagement_score,days_since_basic_task_completed,days_since_payment_recieved,days_since_epayments_used,time_sheet_entries_used,users_logged_in,synced_to_quickbooks,phone_number,cancellation_request,account_value,plan_code,annual_plan,renewed
1222,121,95,106,,,United States,Other,Other,1,1,37,375,0,0,1,0,0,1,11,0,,31,18,0,0,100.0,0.099,0.0,0.0,10.135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119,18,false,Intuit,campaign(intuit_appcenter|try_buy),60,118,,,false,true,true,false,true,48.0,jobber_basic_subscription_39,false,false
1223,637,132,140,5,132,Other,Lawn Care & Lawn Maintenance,Green Industry,3,1,101,72,201,91,3,0,0,13,39,1,10,32,0,1,0,33.33333333333333,1.403,0.502,1.11,0.713,0.358,0.791,1.99,2.792,2.209,0.901,1.264,0.453,399,0,false,Paid Search,campaign(adwords),"",322,20,,false,true,false,true,true,0.0,jobber_basic_subscription_39,false,false
797,398,1,7,2,5,United States,Residential Cleaning,Cleaning,40,8,1078,994,3357,22,3,0,3,16,37,0,8,30,44,25,4,20.0,1.085,0.321,49.0,0.922,0.296,45.182,3.114,3.377,152.591,0.02,0.022,0.007,107,1,false,Unknown,-,"",1,2,6,true,false,true,true,false,103.0,jobber_basic_subscription_39,false,true
570,773,18,23,18,,United States,Lawn Care & Lawn Maintenance,Green Industry,1,0,14,13,7,0,8,0,1,18,51,5,8,2,16,7,3,0.0,1.077,2.0,0.0,0.929,1.857,0.0,0.5,0.538,0.0,0.0,0.0,0.0,16,23,false,Organic Search,organic(google),70,22,18,,true,true,false,true,false,29.0,base_plan_usd,false,false
1224,180,98,93,123,93,United States,Lawn Care & Lawn Maintenance,Green Industry,14,3,3,12,2,14,3,0,0,12,31,0,,31,27,4,3,21.428571428571427,0.25,1.5,0.214,4.0,6.0,0.857,0.667,0.167,0.143,4.667,1.167,7.0,127,12,false,Paid Search,campaign(adwords),10,180,117,,true,false,false,true,true,53.0,jobber_basic_subscription_39,false,false
1225,649,151,12,12,430,United States,Residential Cleaning,Cleaning,1,0,7,40,6,2,5,0,0,19,41,4,,61,38,0,0,0.0,0.175,1.167,3.5,5.714,6.667,20.0,0.857,0.15,3.0,0.286,0.05,0.333,387,2,false,Paid Listing,campaign(capterra|capterra_maid_services),"",2,12,,false,false,false,true,false,39.0,jobber_basic_subscription_39,false,true
1226,576,248,98,84,98,United States,Electrical Contractor,Trade,4,3,84,117,34,45,0,0,0,4,29,0,,61,43,12,7,75.0,0.718,2.471,1.867,1.393,3.441,2.6,0.405,0.291,0.756,0.536,0.385,1.324,541,28,false,Intuit,campaign(intuit_appcenter|try_buy),"",576,84,221,false,false,true,false,false,39.0,jobber_basic_subscription_39,false,false
1227,162,34,34,21,95,United States,Animal Waste Services,Other,3,2,23,28,10,1,2,0,0,8,21,0,,52,13,7,3,66.66666666666666,0.821,2.3,23.0,1.217,2.8,28.0,0.435,0.357,10.0,0.043,0.036,0.1,114,3,false,Paid Listing,campaign(capterra|capterra_landscape),80,142,21,24,true,true,false,true,false,53.0,jobber_basic_subscription_39,false,true
1228,517,88,103,86,86,United States,Lawn Care & Lawn Maintenance,Green Industry,1,0,6,94,358,51,0,0,0,6,28,0,,31,9,4,3,0.0,0.064,0.017,0.118,15.667,0.263,1.843,59.667,3.809,7.02,8.5,0.543,0.142,400,9,false,Paid Search,campaign(adwords),"",436,119,,false,true,false,false,true,39.0,jobber_basic_subscription_39,false,false
1229,180,22,19,19,22,United States,Lawn Care & Lawn Maintenance,Green Industry,0,0,60,426,85,31,0,0,1,7,21,0,,31,5,0,0,0.0,0.141,0.706,1.935,7.1,5.012,13.742,1.417,0.2,2.742,0.517,0.073,0.365,141,5,true,Paid Search,campaign(adwords),40,16,5,,true,true,true,true,true,51.0,jobber_basic_subscription_39,false,false
