id,days_since_signup,days_since_job_created,days_since_client_created,days_since_invoice_created,days_since_quote_created,country,industry,industry_category,added_user_count,accepted_added_user_count,job_count,client_count,invoice_count,quote_count,call_count,chat_count,demo_count,interaction_count,activity_count,note_count,last_nps_score,last_activity_type,days_since_activity_event,custom_field_count,property_custom_field_count,percent_added_users_accepted,job_count_over_client_count,job_count_over_invoice_count,job_count_over_quote_count,client_count_over_job_count,client_count_over_invoice_count,client_count_over_quote_count,invoice_count_over_job_count,invoice_count_over_client_count,invoice_count_over_quote_count,quote_count_over_job_count,quote_count_over_client_count,quote_count_over_invoice_count,days_since_interaction,approx_days_since_any_user_login,mobile_signup,campaign_group,campaign_string,engagement_score,days_since_basic_task_completed,days_since_payment_recieved,days_since_epayments_used,time_sheet_entries_used,users_logged_in,synced_to_quickbooks,phone_number,cancellation_request,account_value,plan_code,annual_plan,renewed
767,120,67,67,69,,Other,Mobile Carwash,Other,0,0,37,31,30,0,3,0,0,11,22,0,,32,0,0,0,0.0,1.194,1.233,0.0,0.838,1.033,0.0,0.811,0.968,0.0,0.0,0.0,0.0,37,6,false,Paid Search,campaign(adwords),60,,69,,false,true,false,true,true,0.0,jobber_basic_subscription_39,false,false
768,334,,,,,United States,Lawn Care & Lawn Maintenance,Green Industry,1,0,0,0,0,0,0,0,0,8,26,0,8,32,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229,1,false,Organic Search,organic(google),"",,,,true,false,false,true,true,0.0,jobber_basic_subscription_39,false,false
769,269,114,178,,,United States,Other,Other,1,1,186,491,0,0,0,0,0,6,15,0,,52,29,0,0,100.0,0.379,0.0,0.0,2.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144,4,false,Unknown,-,"",268,,,false,true,true,false,false,48.0,jobber_basic_subscription_39,false,true
89,589,147,130,130,151,United States,Flooring Service,Other,2,2,67,75,247,8,5,0,0,10,39,2,,32,0,0,0,100.0,0.893,0.271,8.375,1.119,0.304,9.375,3.687,3.293,30.875,0.119,0.107,0.032,270,6,false,Organic Search,organic(google),"",505,130,,false,true,false,true,true,0.0,base_plan_usd,false,false
770,188,39,39,41,82,Other,Lawn Care & Lawn Maintenance,Green Industry,3,0,3,35,1,2,0,0,0,8,13,1,,2,5,5,4,0.0,0.086,3.0,1.5,11.667,35.0,17.5,0.333,0.029,0.5,0.667,0.057,2.0,5,5,false,Organic Search,organic(google),30,,,,false,false,false,false,true,57.0,jobber_basic_subscription_39,false,false
771,58,20,17,17,31,United States,Lawn Care & Lawn Maintenance,Green Industry,1,1,30,98,91,1,2,0,1,12,18,0,,2,5,6,4,100.0,0.306,0.33,30.0,3.267,1.077,98.0,3.033,0.929,91.0,0.033,0.01,0.011,5,6,false,Organic Search,organic(google),90,34,8,,true,true,true,true,true,51.0,jobber_basic_subscription_39,false,false
772,364,47,89,47,48,United States,Lawn Care & Lawn Maintenance,Green Industry,0,0,29,27,54,34,0,0,0,10,27,0,,2,12,0,0,0.0,1.074,0.537,0.853,0.931,0.5,0.794,1.862,2.0,1.588,1.172,1.259,0.63,12,13,false,Paid Search,campaign(bingads|bingads),"",,51,268,false,true,false,true,true,39.0,jobber_basic_subscription_39,false,false
773,58,,33,,,Other,Electrical Contractor,Trade,2,2,0,6,0,0,1,0,0,4,12,1,,2,20,2,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,25,false,Intuit,campaign(Intuit Australia|Intuit Australia add ons),50,,,,false,true,true,true,true,57.0,jobber_basic_subscription_39,false,false
774,58,,,,,United States,Lawn Care & Lawn Maintenance,Green Industry,0,0,0,0,0,0,1,0,0,6,16,0,,31,1,4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,false,Organic Search,organic(bing),60,,,,false,true,true,true,true,39.0,jobber_basic_subscription_39,false,false
678,703,6,46,1,5,United States,Lawn Care & Lawn Maintenance,Green Industry,0,0,98,53,707,28,5,0,0,8,35,1,,2,19,7,3,0.0,1.849,0.139,3.5,0.541,0.075,1.893,7.214,13.34,25.25,0.286,0.528,0.04,19,7,false,Organic Search,organic(google),"",687,1,,false,true,false,true,false,29.0,base_plan_usd,false,true
775,358,150,49,49,49,United States,Painting,Other,0,0,5,15,11,30,0,0,0,8,25,0,,31,26,1,0,0.0,0.333,0.455,0.167,3.0,1.364,0.5,2.2,0.733,0.367,6.0,2.0,2.727,193,26,false,Paid Search,campaign(adwords|videoremarketing),"",322,105,,false,true,false,true,true,39.0,jobber_basic_subscription_39,false,false
538,119,84,87,84,90,United States,Computers & IT,Hi Tech,1,1,36,260,25,2,1,0,0,8,20,0,,2,25,1,0,100.0,0.138,1.44,18.0,7.222,10.4,130.0,0.694,0.096,12.5,0.056,0.008,0.08,25,28,false,Organic Search,organic(google),100,28,87,,true,true,false,true,true,44.0,jobber_basic_subscription_39,false,false
776,499,39,32,11,62,United States,Renovations,Other,5,0,102,37,96,35,4,0,0,10,32,1,,61,43,1,0,0.0,2.757,1.063,2.914,0.363,0.385,1.057,0.941,2.595,2.743,0.343,0.946,0.365,440,1,false,Direct,direct,"",286,11,,true,false,false,true,false,57.0,jobber_basic_subscription_39,false,true
777,79,43,32,28,,United States,Mechanical Service,Trade,0,0,7,7,8,0,0,0,0,4,9,0,,2,21,0,0,0.0,1.0,0.875,0.0,1.0,0.875,0.0,1.143,1.143,0.0,0.0,0.0,0.0,21,28,false,Paid Listing,campaign(getapp|get_app),50,,60,,false,true,false,false,false,39.0,jobber_basic_subscription_39,false,false
6,248,162,162,167,,Canada,Renovations,Other,22,1,44,7,4,0,1,0,0,12,33,2,,31,28,4,1,4.545454545454546,6.286,11.0,0.0,0.159,1.75,0.0,0.091,0.571,0.0,0.0,0.0,0.0,181,28,false,Organic Search,organic(google),"",,,,true,false,true,true,true,53.0,jobber_basic_subscription_39,false,false
334,181,1,22,1,1,United States,Lawn Care & Lawn Maintenance,Green Industry,1,0,68,58,92,50,0,0,0,7,17,1,,52,18,5,4,0.0,1.172,0.739,1.36,0.853,0.63,1.16,1.353,1.586,1.84,0.735,0.862,0.543,98,1,false,Paid Search,campaign(adwords),50,103,6,6,false,false,true,true,false,67.0,jobber_basic_subscription_39,false,true
778,974,269,132,245,237,United States,Handyman,Other,1,1,6,42,7,19,3,0,0,12,26,1,10,2,23,0,0,100.0,0.143,0.857,0.316,7.0,6.0,2.211,1.167,0.167,0.368,3.167,0.452,2.714,23,28,false,Internal,linked_by(getjobber.com),110,300,245,269,false,true,true,true,true,53.0,jobber_basic_subscription_39,false,false
779,42,,42,,,United States,Flooring Service,Other,0,0,0,1,0,0,0,0,0,1,6,0,,5,21,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,42,false,Direct,direct,0,,,,false,true,false,false,false,39.0,jobber_basic_subscription_39,false,false
780,58,,58,,,United States,Other,Other,1,1,0,278,0,0,1,0,1,9,19,0,,2,16,3,2,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,21,false,Intuit,campaign(intuit_appcenter|try_buy),60,,,,false,true,true,false,true,39.0,jobber_basic_subscription_39,false,false
486,424,7,7,114,7,United States,HVAC,Trade,2,2,1894,1652,1359,30,1,0,0,6,23,0,,61,43,3,0,100.0,1.146,1.394,63.133,0.872,1.216,55.067,0.718,0.823,45.3,0.016,0.018,0.022,373,4,false,Video,linked_by(youtube.com),"",73,114,,false,false,false,true,false,48.0,jobber_basic_subscription_39,false,true
781,30,17,18,,,United States,Residential Cleaning,Cleaning,20,2,130,539,0,0,2,0,1,9,20,0,,31,0,1,0,10.0,0.241,0.0,0.0,4.146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,4,false,Paid Search,campaign(adwords),50,23,,,false,false,true,true,true,48.0,jobber_basic_subscription_39,false,false
319,250,3,1,1,1,Canada,Arborist / Tree Care,Green Industry,1,1,63,114,103,89,2,0,0,12,23,0,,61,43,4,3,100.0,0.553,0.612,0.708,1.81,1.107,1.281,1.635,0.904,1.157,1.413,0.781,0.864,114,3,false,Organic Search,organic(bing),"",220,5,,false,true,false,true,false,39.0,jobber_basic_subscription_39,false,true
782,307,44,45,44,,Canada,Electrical Contractor,Trade,1,1,13,11,8,0,0,0,0,4,10,0,,32,0,0,0,100.0,1.182,1.625,0.0,0.846,1.375,0.0,0.615,0.727,0.0,0.0,0.0,0.0,25,7,false,Organic Search,organic(google),50,,42,,true,false,true,true,true,0.0,jobber_basic_subscription_39,false,true
783,58,9,15,14,,Other,Electrical Contractor,Trade,0,0,76,51,12,0,0,0,0,4,9,0,,32,0,1,0,0.0,1.49,6.333,0.0,0.671,4.25,0.0,0.158,0.235,0.0,0.0,0.0,0.0,5,5,false,Organic Search,organic(google),20,6,14,,false,true,false,false,true,0.0,jobber_basic_subscription_39,false,false
36,829,9,5,4,4,Canada,Electrical Contractor,Trade,1,1,6,49,52,66,0,0,0,7,43,1,,2,25,0,0,100.0,0.122,0.115,0.091,8.167,0.942,0.742,8.667,1.061,0.788,11.0,1.347,1.269,25,5,false,Referral,linked_by(lawnsite.com),"",,19,,false,true,false,false,false,38.0,base_plan_usd,false,true
