id,days_since_signup,days_since_job_created,days_since_client_created,days_since_invoice_created,days_since_quote_created,country,industry,industry_category,added_user_count,accepted_added_user_count,job_count,client_count,invoice_count,quote_count,call_count,chat_count,demo_count,interaction_count,activity_count,note_count,last_nps_score,last_activity_type,days_since_activity_event,custom_field_count,property_custom_field_count,percent_added_users_accepted,job_count_over_client_count,job_count_over_invoice_count,job_count_over_quote_count,client_count_over_job_count,client_count_over_invoice_count,client_count_over_quote_count,invoice_count_over_job_count,invoice_count_over_client_count,invoice_count_over_quote_count,quote_count_over_job_count,quote_count_over_client_count,quote_count_over_invoice_count,days_since_interaction,approx_days_since_any_user_login,mobile_signup,campaign_group,campaign_string,engagement_score,days_since_basic_task_completed,days_since_payment_recieved,days_since_epayments_used,time_sheet_entries_used,users_logged_in,synced_to_quickbooks,phone_number,cancellation_request,account_value,plan_code,annual_plan,renewed
1643,560,19,2,19,15,Canada,Construction & Contracting,Trade,1,0,130,563,128,133,0,0,0,10,34,1,,32,0,11,1,0.0,0.231,1.016,0.977,4.331,4.398,4.233,0.985,0.227,0.962,1.023,0.236,1.039,308,4,true,Organic Search,organic(google),"",150,19,,false,true,false,true,true,0.0,jobber_basic_subscription_39,false,false
1644,168,72,107,77,,Canada,Appliance Repair,Other,1,1,28,163,8,0,4,0,0,10,24,3,,32,0,1,0,100.0,0.172,3.5,0.0,5.821,20.375,0.0,0.286,0.049,0.0,0.0,0.0,0.0,26,28,false,Direct,direct,60,,77,,false,true,true,true,true,0.0,jobber_basic_subscription_39,false,false
1645,183,26,28,26,167,United States,Commercial Cleaning,Cleaning,3,0,218,224,214,1,0,0,0,11,22,0,,32,0,3,0,0.0,0.973,1.019,218.0,1.028,1.047,224.0,0.982,0.955,214.0,0.005,0.004,0.005,14,1,false,Organic Search,organic(google),70,117,30,,true,false,true,true,true,0.0,jobber_basic_subscription_39,false,false
813,822,21,58,2,30,Canada,Lawn Care & Lawn Maintenance,Green Industry,5,0,186,185,387,223,10,0,2,19,46,1,9,61,43,2,1,0.0,1.005,0.481,0.834,0.995,0.478,0.83,2.081,2.092,1.735,1.199,1.205,0.576,45,2,false,Paid Search,campaign(adwords),"",82,21,,false,false,false,true,false,39.0,jobber_basic_subscription_39,false,true
1646,65,20,30,30,18,Canada,Residential Cleaning,Cleaning,2,2,1,7,1,8,0,1,0,3,12,1,,32,0,1,0,100.0,0.143,1.0,0.125,7.0,7.0,0.875,1.0,0.143,0.125,8.0,1.143,8.0,3,18,false,Paid Listing,campaign(capterra|capterra_maid_services),0,31,,,false,true,false,false,true,0.0,monthly_59_basicpro,false,false
583,349,37,16,37,50,United States,HVAC,Trade,0,0,45,232,147,38,8,1,2,21,48,0,10,32,0,11,1,0.0,0.194,0.306,1.184,5.156,1.578,6.105,3.267,0.634,3.868,0.844,0.164,0.259,13,2,true,Unknown,-,50,53,10,,false,true,true,true,true,0.0,jobber_basic_subscription_39,false,false
1647,334,111,51,80,100,United States,Computers & IT,Hi Tech,3,3,260,482,211,75,0,0,2,7,27,0,,32,0,4,1,100.0,0.539,1.232,3.467,1.854,2.284,6.427,0.812,0.438,2.813,0.288,0.156,0.355,27,29,false,Paid Listing,campaign(capterra|capterra_field_service_management),100,118,49,,true,true,true,true,true,0.0,jobber_basic_subscription_39,false,false
1648,171,56,79,79,52,United States,Handyman,Other,2,1,2,3,4,2,3,0,0,6,18,1,,32,0,1,0,50.0,0.667,0.5,1.0,1.5,0.75,1.5,2.0,1.333,2.0,1.0,0.667,0.5,58,14,false,Direct,direct,50,170,86,,false,false,false,true,true,0.0,jobber_basic_subscription_39,false,false
1231,121,,,,,United States,Lawn Care & Lawn Maintenance,Green Industry,0,0,0,0,0,0,2,0,1,11,24,0,,8,0,4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,1,false,Organic Search,organic(google),30,,,,false,false,false,true,false,0.0,annual_39,true,false
1649,795,0,2,0,2,United States,Lawn Care & Lawn Maintenance,Green Industry,2,2,133,259,765,270,5,1,0,11,48,1,,7,10,5,3,100.0,0.514,0.174,0.493,1.947,0.339,0.959,5.752,2.954,2.833,2.03,1.042,0.353,10,3,false,Organic Search,organic(google),"",,2,2,false,false,true,true,false,64.0,monthly_59_basicpro,false,true
1650,254,181,159,181,181,United States,Other,Other,0,0,9,143,6,9,1,0,1,10,27,0,,54,2,1,0,0.0,0.063,1.5,1.0,15.889,23.833,15.889,0.667,0.042,0.667,1.0,0.063,1.5,178,74,false,Intuit,campaign(intuit_appcenter|try_buy),40,228,156,,true,true,true,false,false,58.0,jobber_basic_subscription_39,false,false
1651,93,5,5,2,2,Other,Lawn Care & Lawn Maintenance,Green Industry,0,0,123,83,101,24,6,1,0,14,25,1,,32,0,1,0,0.0,1.482,1.218,5.125,0.675,0.822,3.458,0.821,1.217,4.208,0.195,0.289,0.238,3,4,true,Paid Search,campaign(adwords),70,2,3,,false,true,false,true,true,0.0,monthly_59_basicpro,false,false
1484,774,137,773,140,142,United States,HVAC,Trade,11,11,96,2,81,10,6,1,0,22,66,1,9,32,0,23,9,100.0,48.0,1.185,9.6,0.021,0.025,0.2,0.844,40.5,8.1,0.104,5.0,0.123,22,8,false,Direct,direct,"",128,140,,true,true,true,true,true,0.0,base_plan_usd,false,false
465,429,319,361,,,Other,Window Washing,Cleaning,0,0,7,60,0,0,0,0,0,12,32,0,,32,0,44,9,0.0,0.117,0.0,0.0,8.571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207,10,false,Paid Listing,campaign(getapp|get_app),20,,,,false,true,false,true,true,0.0,jobber_basic_subscription_39,false,false
1652,637,44,15,11,134,Canada,Lawn Care & Lawn Maintenance,Green Industry,2,2,377,127,131,31,0,0,0,7,36,0,,32,0,6,4,100.0,2.969,2.878,12.161,0.337,0.969,4.097,0.347,1.031,4.226,0.082,0.244,0.237,492,4,false,Paid Search,campaign(adwords),"",182,11,,true,true,false,true,true,0.0,jobber_basic_subscription_39,false,false
1653,669,64,67,35,640,United States,Lawn Care & Lawn Maintenance,Green Industry,17,13,1555,4219,2426,7,1,2,1,17,48,1,5,32,0,4,2,76.47058823529412,0.369,0.641,222.143,2.713,1.739,602.714,1.56,0.575,346.571,0.005,0.002,0.003,16,17,false,Organic Search,organic(google),"",332,71,,false,true,true,true,true,0.0,jobber_basic_subscription_39,false,false
1654,285,,,,,United States,Residential Cleaning,Cleaning,8,2,0,0,0,0,0,0,1,9,29,0,,61,43,5,1,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,227,271,false,Paid Listing,campaign(capterra|capterra_field_service_management),50,277,,,false,false,false,true,false,39.0,jobber_basic_subscription_39,false,false
1655,213,60,19,33,31,United States,Other,Other,12,9,14,20,15,15,0,1,0,3,22,0,,7,5,4,1,75.0,0.7,0.933,0.933,1.429,1.333,1.333,1.071,0.75,1.0,1.071,0.75,1.0,5,9,true,Direct,direct,100,74,39,,true,true,false,true,true,48.0,jobber_basic_subscription_39,false,false
1656,144,51,65,65,65,United States,Pest Control,Other,5,0,4,1206,3,1,5,0,1,14,23,0,,2,4,1,0,0.0,0.003,1.333,4.0,301.5,402.0,1206.0,0.75,0.002,3.0,0.25,0.001,0.333,4,4,false,Organic Search,organic(google),70,143,65,,false,false,true,false,true,48.0,jobber_basic_subscription_39,false,false
1657,425,,4,9,4,United States,Residential Cleaning,Cleaning,2,0,0,146,352,2,1,0,0,12,32,1,,31,4,1,0,0.0,0.0,0.0,0.0,0.0,0.415,73.0,0.0,2.411,176.0,0.0,0.014,0.006,340,4,false,Intuit,campaign(intuit_appcenter|try_buy),"",355,11,,false,false,true,false,true,57.0,jobber_basic_subscription_39,false,false
1369,564,1,15,1,17,United States,Mechanical Service,Trade,0,0,710,285,1833,123,6,2,0,15,39,0,,61,30,2,0,0.0,2.491,0.387,5.772,0.401,0.155,2.317,2.582,6.432,14.902,0.173,0.432,0.067,31,5,false,Organic Search,organic(google),"",37,1,,true,false,true,true,false,48.0,jobber_basic_subscription_39,false,true
