id,days_since_signup,days_since_job_created,days_since_client_created,days_since_invoice_created,days_since_quote_created,country,industry,industry_category,added_user_count,accepted_added_user_count,job_count,client_count,invoice_count,quote_count,call_count,chat_count,demo_count,interaction_count,activity_count,note_count,last_nps_score,last_activity_type,days_since_activity_event,custom_field_count,property_custom_field_count,percent_added_users_accepted,job_count_over_client_count,job_count_over_invoice_count,job_count_over_quote_count,client_count_over_job_count,client_count_over_invoice_count,client_count_over_quote_count,invoice_count_over_job_count,invoice_count_over_client_count,invoice_count_over_quote_count,quote_count_over_job_count,quote_count_over_client_count,quote_count_over_invoice_count,days_since_interaction,approx_days_since_any_user_login,mobile_signup,campaign_group,campaign_string,engagement_score,days_since_basic_task_completed,days_since_payment_recieved,days_since_epayments_used,time_sheet_entries_used,users_logged_in,synced_to_quickbooks,phone_number,cancellation_request,account_value,plan_code,annual_plan,renewed
2478,51,,,,,United States,Other,Other,8,0,0,0,0,0,1,3,1,6,16,2,,31,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,1,false,Direct,direct,0,,,,false,false,false,false,true,0.0,monthly_59_basicpro,false,false
2479,43,11,11,,11,United States,Pressure Washing Service,Cleaning,2,0,18,53,0,41,6,4,0,11,21,1,,31,2,1,0,0.0,0.34,0.0,0.439,2.944,0.0,1.293,0.0,0.0,0.0,2.278,0.774,0.0,2,4,false,Paid Search,campaign(bing|cleaning),30,11,,,false,true,false,true,true,0.0,monthly_59_basicpro,false,false
2480,56,3,3,,,United States,Arborist / Tree Care,Green Industry,2,2,62,335,0,0,1,2,0,3,9,0,,1,24,1,0,100.0,0.185,0.0,0.0,5.403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,4,false,Referral,linked_by(www.lawnsite.com),60,10,,,true,false,true,true,false,59.0,monthly_59_basicpro,false,true
2481,30,6,6,,,United States,Construction & Contracting,Trade,9,8,67,87,0,0,4,0,0,4,12,2,,31,1,1,0,88.88888888888889,0.77,0.0,0.0,1.299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,false,Organic Search,organic(google),40,25,,,false,false,true,true,true,0.0,annual_39_basicpro,true,false
2482,61,38,38,,,Canada,Plumbing,Trade,17,13,76,68,0,0,4,11,0,16,23,1,,2,30,3,0,76.47058823529412,1.118,0.0,0.0,0.895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,31,false,Organic Search,organic(google),60,59,,,true,false,false,true,true,0.0,monthly_59_basicpro,false,false
2483,78,32,32,31,,United States,Other,Other,3,3,62,1162,58,0,6,15,0,22,42,1,,31,7,3,0,100.0,0.053,1.069,0.0,18.742,20.034,0.0,0.935,0.05,0.0,0.0,0.0,0.0,31,4,false,Organic Search,organic(google),20,10,11,,true,true,true,true,true,0.0,monthly_59_basicpro,false,false
1050,392,333,333,333,333,United States,Lawn Care & Lawn Maintenance,Green Industry,1,0,28,31,13,17,1,0,0,6,29,5,,31,0,4,3,0.0,0.903,2.154,1.647,1.107,2.385,1.824,0.464,0.419,0.765,0.607,0.548,1.308,340,0,false,Referral,linked_by(www.lawnsite.com),90,333,333,,true,true,false,false,true,0.0,monthly_59_basicpro,false,false
2484,548,427,168,168,535,United States,Lawn Care & Lawn Maintenance,Green Industry,1,0,5,58,7,1,2,2,0,11,37,1,,7,2,5,3,0.0,0.086,0.714,5.0,11.6,8.286,58.0,1.4,0.121,7.0,0.2,0.017,0.143,2,2,false,Paid Listing,campaign(capterra|capterra_landscape),40,418,322,,false,true,false,false,true,0.0,jobber_basic_subscription_39,false,false
2485,90,71,71,29,,United States,Commercial Cleaning,Cleaning,2,1,5,7,13,0,1,3,0,5,20,2,,8,3,1,0,50.0,0.714,0.385,0.0,1.4,0.538,0.0,2.6,1.857,0.0,0.0,0.0,0.0,3,3,false,Organic Search,organic(google),0,71,29,,false,true,false,true,true,0.0,monthly_59_basicpro,false,false
2486,30,30,30,30,,United States,Residential Cleaning,Cleaning,1,0,1,2,1,0,2,1,0,4,13,1,,2,16,14,2,0.0,0.5,1.0,0.0,2.0,2.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,16,17,false,Organic Search,organic(google),70,30,30,,true,false,false,true,true,0.0,monthly_59_basicpro,false,false
2487,52,27,26,,26,United States,Landscaping Contractor,Green Industry,3,2,2,8,0,3,5,9,0,16,28,0,,2,5,4,1,66.66666666666666,0.25,0.0,0.667,4.0,0.0,2.667,0.0,0.0,0.0,1.5,0.375,0.0,5,5,true,Paid Listing,campaign(GetApp|ListingMain),10,25,,,false,false,false,true,true,0.0,monthly_59_basicpro,false,false
2488,30,,,,,United States,Lawn Care & Lawn Maintenance,Green Industry,7,5,0,0,0,0,1,1,0,2,11,1,,1,5,4,3,71.42857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,5,false,Direct,direct,0,,,,false,false,false,true,true,0.0,monthly_59_basicpro,false,false
2489,639,521,479,,597,United States,Renovations,Other,4,1,45,8291,0,1,12,3,0,22,53,2,4,7,8,2,0,25.0,0.005,0.0,45.0,184.244,0.0,8291.0,0.0,0.0,0.0,0.022,0.0,0.0,8,11,false,Organic Search,organic(google),"",442,,,false,false,true,true,true,0.0,jobber_basic_subscription_39,false,false
2490,486,166,256,164,163,United States,Construction & Contracting,Trade,2,2,149,19,130,180,2,0,0,10,29,1,8,2,17,3,0,100.0,7.842,1.146,0.828,0.128,0.146,0.106,0.872,6.842,0.722,1.208,9.474,1.385,17,18,false,Organic Search,organic(google),20,155,164,,true,true,true,true,true,0.0,jobber_basic_subscription_39,false,false
2491,215,20,10,15,10,Other,Commercial Cleaning,Cleaning,3,0,130,110,7,154,0,5,0,5,17,2,,7,11,0,0,0.0,1.182,18.571,0.844,0.846,15.714,0.714,0.054,0.064,0.045,1.185,1.4,22.0,11,2,false,Organic Search,organic(google),50,123,,,false,false,false,true,false,39.0,annual_39_basicpro,true,false
2492,1161,1,4,2,2,United States,Arborist / Tree Care,Green Industry,20,14,718,1002,761,1243,7,24,0,45,109,1,10,7,3,7,0,70.0,0.717,0.943,0.578,1.396,1.317,0.806,1.06,0.759,0.612,1.731,1.241,1.633,3,6,false,Organic Search,organic(google),"",2,2,2,true,false,false,true,false,78.0,base_plan_usd,false,true
2493,197,116,98,98,120,Other,Other,Other,0,0,23,69,22,5,0,5,0,9,23,2,,2,26,2,0,0.0,0.333,1.045,4.6,3.0,3.136,13.8,0.957,0.319,4.4,0.217,0.072,0.227,26,27,false,Intuit,campaign(intuit_appcenter|try_buy),70,64,98,,false,true,true,true,true,0.0,monthly_59_basicpro,false,false
2494,121,30,31,23,,Canada,Residential Cleaning,Cleaning,1,0,28,400,23,0,1,21,2,28,62,3,5,2,18,17,0,0.0,0.07,1.217,0.0,14.286,17.391,0.0,0.821,0.058,0.0,0.0,0.0,0.0,18,19,false,Paid Listing,campaign(capterra|capterra_maid_service),50,,23,,true,false,true,true,true,0.0,monthly_59_basicpro,false,false
2495,42,,,,,United States,Lawn Care & Lawn Maintenance,Green Industry,2,0,0,0,0,0,2,5,0,8,15,0,,7,38,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38,29,true,Paid Search,campaign(adwords),0,,,,false,true,false,true,false,91.0,monthly_59_basicpro,false,false
2496,30,18,13,12,12,United States,Lawn Care & Lawn Maintenance,Green Industry,1,1,10,454,1,3,2,6,2,12,26,2,,2,4,12,3,100.0,0.022,10.0,3.333,45.4,454.0,151.333,0.1,0.002,0.333,0.3,0.007,3.0,4,4,false,Organic Search,organic(google),10,12,,,true,true,true,true,true,0.0,monthly_59_basicpro,false,false
942,412,35,67,,388,United States,Lawn Care & Lawn Maintenance,Green Industry,3,0,2,220,0,5,1,4,2,15,35,2,,31,4,2,1,0.0,0.009,0.0,0.4,110.0,0.0,44.0,0.0,0.0,0.0,2.5,0.023,0.0,4,4,false,Intuit,campaign(intuit_appcenter|try_buy),30,67,,,false,false,true,true,true,0.0,monthly_59_basicpro,false,false
2268,87,3,6,3,6,Canada,Construction & Contracting,Trade,1,1,33,24,23,38,8,4,0,14,26,0,,50,13,0,0,100.0,1.375,1.435,0.868,0.727,1.043,0.632,0.697,0.958,0.605,1.152,1.583,1.652,53,0,false,Organic Search,organic(google),90,55,8,,true,true,false,false,false,64.0,monthly_59_basicpro,false,true
1590,531,47,116,47,,United States,Renovations,Other,18,17,1,1,1,0,0,4,3,25,73,5,4,2,24,5,0,94.44444444444444,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,24,25,false,Direct,direct,70,,,,false,true,false,true,true,0.0,jobber_basic_subscription_39,false,false
2003,663,35,42,33,41,United States,Lawn Care & Lawn Maintenance,Green Industry,6,1,112,86,150,129,0,0,0,14,44,1,,2,11,2,0,16.666666666666664,1.302,0.747,0.868,0.768,0.573,0.667,1.339,1.744,1.163,1.152,1.5,0.86,11,12,false,Unknown,-,"",67,33,,true,false,false,true,true,0.0,jobber_basic_subscription_39,false,false
2497,427,68,55,55,,United States,HVAC,Trade,17,8,115,702,129,0,0,0,2,9,42,1,8,2,27,5,0,47.05882352941176,0.164,0.891,0.0,6.104,5.442,0.0,1.122,0.184,0.0,0.0,0.0,0.0,27,6,false,Intuit,campaign(intuit_appcenter|try_buy),70,48,55,,true,false,true,true,true,0.0,jobber_basic_subscription_39,false,false
884,708,15,34,15,34,United States,Lawn Care & Lawn Maintenance,Green Industry,10,1,1,6,2,2,3,1,0,18,48,0,,11,33,3,0,10.0,0.167,0.5,0.5,6.0,3.0,3.0,2.0,0.333,1.0,2.0,0.333,1.0,38,15,true,Direct,direct,110,,69,69,true,true,true,true,false,73.0,monthly_59_basicpro,false,false
2498,272,271,60,271,267,United States,Other,Other,0,0,1,1300,1,1,4,2,1,12,25,2,,31,29,1,0,0.0,0.001,1.0,1.0,1300.0,1300.0,1300.0,1.0,0.001,1.0,1.0,0.001,1.0,29,29,false,Intuit,campaign(intuit_appcenter|try_buy),50,,,,false,true,true,true,true,0.0,monthly_59_basicpro,false,false
1369,749,50,22,15,50,United States,Mechanical Service,Trade,1,1,829,301,2356,127,9,3,0,20,61,3,,8,5,2,0,100.0,2.754,0.352,6.528,0.363,0.128,2.37,2.842,7.827,18.551,0.153,0.422,0.054,5,8,false,Organic Search,organic(google),"",27,9,,true,false,true,true,true,0.0,jobber_basic_subscription_39,false,false
2499,224,153,30,8,30,United States,Lawn Care & Lawn Maintenance,Green Industry,2,1,24,45,102,3,1,3,0,9,19,0,,61,41,4,3,50.0,0.533,0.235,8.0,1.875,0.441,15.0,4.25,2.267,34.0,0.125,0.067,0.029,183,8,false,Paid Search,campaign(adwords),90,153,17,17,false,true,false,true,false,64.0,monthly_59_basicpro,false,false
1416,447,40,43,,,United States,Other,Other,9,1,554,1848,0,0,0,3,0,14,49,2,,2,28,2,0,11.11111111111111,0.3,0.0,0.0,3.336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,0,false,Paid Listing,campaign(getapp|get_app),30,447,,,false,false,true,false,true,0.0,monthly_59_basicpro,false,false
1156,613,26,7,0,26,Other,Residential Cleaning,Cleaning,10,0,140,176,354,21,1,1,0,3,29,0,,61,36,6,0,0.0,0.795,0.395,6.667,1.257,0.497,8.381,2.529,2.011,16.857,0.15,0.119,0.059,181,1,false,Direct,direct,"",540,16,,false,false,false,true,false,39.0,jobber_basic_subscription_39,false,true
1242,880,5,3,5,3,United States,Lawn Care & Lawn Maintenance,Green Industry,2,0,305,133,579,102,2,0,0,7,40,1,,61,41,5,3,0.0,2.293,0.527,2.99,0.436,0.23,1.304,1.898,4.353,5.676,0.334,0.767,0.176,274,1,false,Organic Search,organic(google),"",22,5,5,true,false,false,true,false,52.0,jobber_basic_subscription_39,false,true
