id,days_since_signup,days_since_job_created,days_since_client_created,days_since_invoice_created,days_since_quote_created,country,industry,industry_category,added_user_count,accepted_added_user_count,job_count,client_count,invoice_count,quote_count,call_count,chat_count,demo_count,interaction_count,activity_count,note_count,last_nps_score,last_activity_type,days_since_activity_event,custom_field_count,property_custom_field_count,percent_added_users_accepted,job_count_over_client_count,job_count_over_invoice_count,job_count_over_quote_count,client_count_over_job_count,client_count_over_invoice_count,client_count_over_quote_count,invoice_count_over_job_count,invoice_count_over_client_count,invoice_count_over_quote_count,quote_count_over_job_count,quote_count_over_client_count,quote_count_over_invoice_count,days_since_interaction,approx_days_since_any_user_login,mobile_signup,campaign_group,campaign_string,engagement_score,days_since_basic_task_completed,days_since_payment_recieved,days_since_epayments_used,time_sheet_entries_used,users_logged_in,synced_to_quickbooks,phone_number,cancellation_request,account_value,plan_code,annual_plan,renewed
2180,104,,98,,,United States,Other,Other,23,6,0,546,0,0,4,31,1,37,56,0,,2,26,3,0,26.08695652173913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,21,false,Intuit,campaign(intuit_appcenter|try_buy),60,96,,,false,false,true,true,true,86.0,monthly_59_basicpro,false,true
2181,55,,,,,United States,Animal Care,Bad Fit,3,3,0,0,0,0,1,0,0,1,8,0,,31,28,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32,28,false,Unknown,-,0,,,,false,false,false,true,true,0.0,monthly_59_basicpro,false,false
2182,55,,,,,United States,Other,Other,3,2,0,0,0,0,0,0,0,0,6,0,,31,28,0,0,66.66666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,28,false,Unknown,-,0,,,,false,false,false,true,true,0.0,monthly_59_basicpro,false,false
2183,103,103,103,,,United States,Residential Cleaning,Cleaning,3,3,1,1,0,0,0,1,0,1,9,0,,31,28,1,0,100.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103,28,false,Organic Search,organic(google),20,103,,,false,true,false,true,true,0.0,monthly_59_basicpro,false,false
2184,55,,,,,United States,Window Washing,Cleaning,3,2,0,0,0,0,0,0,0,0,6,0,,31,28,0,0,66.66666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,28,false,Unknown,-,0,,,,false,true,false,true,true,0.0,monthly_59_basicpro,false,false
2185,55,,,,,United States,Carpet Cleaning,Cleaning,3,2,0,0,0,0,0,0,0,0,7,0,,31,28,0,0,66.66666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,28,false,Unknown,-,0,,,,false,true,false,true,true,0.0,monthly_59_basicpro,false,false
2186,55,,,,,United States,Landscaping Contractor,Green Industry,3,2,0,0,0,0,0,0,0,0,6,0,,31,28,0,0,66.66666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,28,false,Unknown,-,0,,,,false,false,false,true,true,0.0,monthly_59_basicpro,false,false
2187,55,,,,,United States,Handyman,Other,3,2,0,0,0,0,0,0,0,0,7,0,,31,28,0,0,66.66666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,28,false,Unknown,-,0,,,,false,false,false,true,true,0.0,monthly_59_basicpro,false,false
2188,812,89,103,74,563,United States,Mechanical Service,Trade,3,0,7,101,91,2,1,0,0,6,30,1,,61,43,1,0,0.0,0.069,0.077,3.5,14.429,1.11,50.5,13.0,0.901,45.5,0.286,0.02,0.022,502,76,false,Paid Listing,campaign(getapp|get_app),"",315,88,,false,true,false,true,false,39.0,jobber_basic_subscription_39,false,false
554,647,329,27,11,27,United States,Carpet Cleaning,Cleaning,1,0,23,1412,226,8,1,0,1,19,49,1,,61,44,29,0,0.0,0.016,0.102,2.875,61.391,6.248,176.5,9.826,0.16,28.25,0.348,0.006,0.035,245,6,false,Paid Listing,campaign(capterra|capterra_field_service_management),70,639,27,,false,false,false,true,false,39.0,jobber_basic_subscription_39,false,true
