id,days_since_signup,days_since_job_created,days_since_client_created,days_since_invoice_created,days_since_quote_created,country,industry,industry_category,added_user_count,accepted_added_user_count,job_count,client_count,invoice_count,quote_count,call_count,chat_count,demo_count,interaction_count,activity_count,note_count,last_nps_score,last_activity_type,days_since_activity_event,custom_field_count,property_custom_field_count,percent_added_users_accepted,job_count_over_client_count,job_count_over_invoice_count,job_count_over_quote_count,client_count_over_job_count,client_count_over_invoice_count,client_count_over_quote_count,invoice_count_over_job_count,invoice_count_over_client_count,invoice_count_over_quote_count,quote_count_over_job_count,quote_count_over_client_count,quote_count_over_invoice_count,days_since_interaction,approx_days_since_any_user_login,mobile_signup,campaign_group,campaign_string,engagement_score,days_since_basic_task_completed,days_since_payment_recieved,days_since_epayments_used,time_sheet_entries_used,users_logged_in,synced_to_quickbooks,phone_number,cancellation_request,account_value,plan_code,annual_plan,renewed
2042,456,155,168,155,174,United States,Other,Other,6,2,22,1353,6,7,6,0,1,15,39,0,,2,24,10,0,33.33333333333333,0.016,3.667,3.143,61.5,225.5,193.286,0.273,0.004,0.857,0.318,0.005,1.167,24,27,false,Intuit,campaign(intuit_appcenter|try_buy),40,127,168,,true,true,false,false,true,0.0,jobber_basic_subscription_39,false,false
2043,61,,19,19,,Other,Other,Other,3,2,0,2,1,0,0,7,0,10,16,0,,7,23,0,0,66.66666666666666,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,23,17,false,Paid Listing,campaign(GetApp|Scheduling),70,19,,,true,false,false,true,true,0.0,monthly_59_basicpro,false,false
2044,699,48,29,28,,Other,Electrical Contractor,Trade,6,6,2792,888,3175,0,1,2,2,27,61,3,1,2,0,16,0,100.0,3.144,0.879,0.0,0.318,0.28,0.0,1.137,3.575,0.0,0.0,0.0,0.0,0,2,false,Paid Search,campaign(adwords),"",29,24,498,true,true,false,true,true,0.0,jobber_basic_subscription_39,false,false
2045,800,91,91,112,,Other,Residential Cleaning,Cleaning,18,5,49,341,34,0,1,4,2,32,48,1,5,2,14,5,1,27.77777777777778,0.144,1.441,0.0,6.959,10.029,0.0,0.694,0.1,0.0,0.0,0.0,0.0,14,16,false,Paid Search,campaign(adwords),50,71,115,,false,false,false,true,true,0.0,base_plan_usd,false,false
2046,157,92,157,,,United States,Other,Other,0,0,10,27,0,0,0,4,0,5,15,0,,31,3,0,0,0.0,0.37,0.0,0.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66,3,false,Intuit,campaign(intuit_appcenter|try_buy),40,,,,false,false,true,true,true,0.0,monthly_59_basicpro,false,false
2047,159,,159,,,Other,Carpet Cleaning,Cleaning,0,0,0,1,0,0,0,1,0,3,9,1,,7,13,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,9,false,Organic Search,organic(google),10,54,,,false,true,false,true,false,64.0,monthly_59,false,false
2048,50,14,10,38,15,United States,Computers & IT,Hi Tech,8,3,29,46,8,21,1,8,0,11,20,1,,2,1,0,0,37.5,0.63,3.625,1.381,1.586,5.75,2.19,0.276,0.174,0.381,0.724,0.457,2.625,1,4,false,Unknown,-,0,4,38,,true,false,false,true,true,0.0,annual_39_basicpro,true,false
2049,305,242,112,112,247,United States,Lawn Care & Lawn Maintenance,Green Industry,0,0,26,131,68,59,4,0,0,9,28,0,,1,14,4,3,0.0,0.198,0.382,0.441,5.038,1.926,2.22,2.615,0.519,1.153,2.269,0.45,0.868,14,14,false,Paid Search,campaign(adwords),30,294,14,,false,true,false,true,true,0.0,jobber_basic_subscription_39,false,false
1699,109,1,2,30,99,United States,Mechanical Service,Trade,17,13,1198,1636,54,1,0,42,1,52,72,0,,61,28,1,0,76.47058823529412,0.732,22.185,1198.0,1.366,30.296,1636.0,0.045,0.033,54.0,0.001,0.001,0.019,46,4,false,Organic Search,organic(google),0,1,78,,true,false,true,true,false,176.0,monthly_59_basicpro,false,true
2050,214,130,130,60,186,United States,Lawn Care & Lawn Maintenance,Green Industry,3,3,8,16,14,1,1,0,0,5,23,0,,31,24,3,0,100.0,0.5,0.571,8.0,2.0,1.143,16.0,1.75,0.875,14.0,0.125,0.063,0.071,158,24,false,Unknown,-,0,177,60,,false,true,false,true,true,0.0,monthly_59,false,false
